major,course,match_rows,students,avg_tiki_score,avg_repo_score
Đầu tư tài chính,Phân tích kỹ thuật,68,68,100.0,34.37
Toán tài chính,Xác suất và thống kê,68,68,94.0,22.9
Toán tài chính,Toán tài chính ứng dụng,68,68,93.38,25.83
Đầu tư tài chính,Thị trường tài chính,68,68,90.95,70.95
Đầu tư tài chính,Phân tích đầu tư chứng khoán,68,68,90.7,17.02
Toán tài chính,Quản lý rủi ro định lượng,68,68,39.01,43.59
Đầu tư tài chính,Quản lý danh mục đầu tư,68,68,35.66,17.43
Kinh doanh nông nghiệp,Chuỗi cung ứng nông sản,68,68,35.17,100.0
Đầu tư tài chính,Định giá tài sản tài chính,68,68,33.68,21.25
Kinh doanh nông nghiệp,Marketing nông sản,68,68,33.47,30.69
Kinh doanh nông nghiệp,Nông nghiệp công nghệ cao,68,68,28.58,26.24
Kinh doanh nông nghiệp,Tài chính nông nghiệp,68,68,22.91,16.79
Toán tài chính,Mô hình tài chính,68,68,21.96,33.79
Đầu tư tài chính,Tài chính hành vi,68,68,21.51,82.06
Toán tài chính,Định giá quyền chọn,68,68,21.41,26.06
Kinh doanh nông nghiệp,Chính sách nông nghiệp,68,68,18.55,29.4
Kinh doanh nông nghiệp,Kinh tế nông nghiệp,68,68,17.88,32.05
Toán tài chính,Phương trình vi phân tài chính,68,68,16.79,12.81
Kinh doanh quốc tế,Đàm phán quốc tế,67,67,92.88,40.69
Kinh doanh quốc tế,Tài chính quốc tế,67,67,84.53,76.12
Kinh doanh quốc tế,Thương mại quốc tế,67,67,76.84,85.35
Kinh doanh quốc tế,Quản trị kinh doanh quốc tế,67,67,68.99,11.37
Kinh doanh quốc tế,Văn hóa kinh doanh quốc tế,67,67,39.48,15.22
Kinh doanh quốc tế,Luật thương mại quốc tế,67,67,34.02,33.84
Quản lý công,Chính sách công,66,66,100.0,94.79
Logistics và Quản lý chuỗi cung ứng,Quản lý chuỗi cung ứng,66,66,81.57,40.15
Quản lý công,Tài chính công,66,66,72.92,44.4
Logistics và Quản lý chuỗi cung ứng,Logistics ngược,66,66,39.73,69.23
Quản lý công,Đạo đức công vụ,66,66,31.04,27.91
Logistics và Quản lý chuỗi cung ứng,Công nghệ trong logistics,66,66,29.83,31.71
Logistics và Quản lý chuỗi cung ứng,Mua hàng và đàm phán,66,66,29.7,18.41
Quản lý công,Quản trị dịch vụ công,66,66,26.59,28.29
Logistics và Quản lý chuỗi cung ứng,Vận tải và phân phối,66,66,26.0,49.32
Quản lý công,Quản lý hành chính công,66,66,25.32,73.66
Quản lý công,Luật hành chính,66,66,22.12,20.8
Logistics và Quản lý chuỗi cung ứng,Quản lý kho hàng,66,66,20.77,100.0
Kỹ sư Robot và Trí tuệ nhân tạo,Thị giác máy tính,63,63,100.0,9.29
Kỹ sư Robot và Trí tuệ nhân tạo,Trí tuệ nhân tạo,63,63,100.0,82.0
Kinh tế đầu tư,Thẩm định dự án,63,63,98.06,41.85
