major,rows_in_partition
Đầu tư tài chính,408
Toán tài chính,408
Kinh doanh nông nghiệp,408
Kinh doanh quốc tế,402
Quản lý công,396
Logistics và Quản lý chuỗi cung ứng,396
Kỹ sư Robot và Trí tuệ nhân tạo,378
An toàn thông tin,378
Quản trị Hải quan - Ngoại thương,378
Kinh tế đầu tư,378
Công nghệ Tài chính,372
Hệ thống hoạch định nguồn lực doanh nghiệp,372
Bất động sản,366
Thị trường chứng khoán,354
Công nghệ nghệ thuật - ArtTech,354
Tài chính,348
Công nghệ thông tin,348
Quản trị kinh doanh,330
Kiến trúc và thiết kế đô thị thông minh,330
Marketing,330
Kiểm toán,324
Kế toán công,306
Hệ thống thông tin quản lý,306
Hệ thống thông tin kinh doanh,300
Công nghệ và đổi mới sáng tạo,300
Bảo hiểm,294
Khoa học dữ liệu,288
Kinh doanh số,282
Khoa học máy tính,276
Ngân hàng,276
Kinh tế,276
Luật kinh doanh quốc tế,276
Công nghệ Marketing,276
Kinh doanh thương mại,270
Công nghệ logistics tích hợp chứng chỉ FIATA,258
Kế toán doanh nghiệp,258
