major,match_rows,students,courses,tiki_books,repo_documents,avg_tiki_score,avg_repo_score
Đầu tư tài chính,408,68,6,6,5,62.08,40.51
Kinh doanh nông nghiệp,408,68,6,6,5,26.09,39.19
Toán tài chính,408,68,6,6,5,47.76,27.5
Kinh doanh quốc tế,402,67,6,4,5,66.12,43.77
Quản lý công,396,66,6,6,6,46.33,48.31
Logistics và Quản lý chuỗi cung ứng,396,66,6,5,6,37.93,51.47
Kinh tế đầu tư,378,63,6,6,6,52.37,26.6
An toàn thông tin,378,63,6,5,6,26.54,17.64
Kỹ sư Robot và Trí tuệ nhân tạo,378,63,6,5,6,60.05,39.01
Quản trị Hải quan - Ngoại thương,378,63,6,5,4,35.97,29.72
Hệ thống hoạch định nguồn lực doanh nghiệp,372,62,6,6,6,40.3,46.8
Công nghệ Tài chính,372,62,6,6,6,41.11,39.6
Bất động sản,366,61,6,5,5,46.43,48.63
Thị trường chứng khoán,354,59,6,6,6,47.12,38.37
Công nghệ nghệ thuật - ArtTech,354,59,6,6,6,33.56,14.71
Công nghệ thông tin,348,58,6,6,6,63.65,35.56
Tài chính,348,58,6,6,5,84.53,64.62
Quản trị kinh doanh,330,55,6,6,6,74.72,46.36
Marketing,330,55,6,6,6,65.08,46.25
Kiến trúc và thiết kế đô thị thông minh,330,55,6,6,6,37.92,34.06
Kiểm toán,324,54,6,4,6,43.77,45.34
Hệ thống thông tin quản lý,306,51,6,4,6,35.18,24.16
Kế toán công,306,51,6,6,6,53.67,59.23
Hệ thống thông tin kinh doanh,300,50,6,6,4,42.99,48.81
Công nghệ và đổi mới sáng tạo,300,50,6,6,6,55.47,50.77
Bảo hiểm,294,49,6,3,4,36.15,77.34
Khoa học dữ liệu,288,48,6,6,5,73.34,30.33
Kinh doanh số,282,47,6,6,6,39.28,37.54
Kinh tế,276,46,6,5,5,71.4,45.85
Công nghệ Marketing,276,46,6,6,5,59.63,36.8
Ngân hàng,276,46,6,6,6,76.86,54.19
Khoa học máy tính,276,46,6,6,6,39.73,15.42
Luật kinh doanh quốc tế,276,46,6,5,5,45.6,34.55
Kinh doanh thương mại,270,45,6,6,6,59.97,44.49
Công nghệ logistics tích hợp chứng chỉ FIATA,258,43,6,5,5,47.33,23.77
Kế toán doanh nghiệp,258,43,6,6,6,78.51,56.22
