major,recommendation_rows,students,resources,avg_recommendation_score
Đầu tư tài chính,340,68,5,84.99
Kinh doanh nông nghiệp,340,68,5,57.36
Toán tài chính,340,68,5,63.79
Kinh doanh quốc tế,335,67,5,80.24
Logistics và Quản lý chuỗi cung ứng,330,66,5,72.26
Quản lý công,330,66,5,76.92
Kinh tế đầu tư,315,63,5,61.8
Kỹ sư Robot và Trí tuệ nhân tạo,315,63,5,82.94
An toàn thông tin,315,63,5,45.96
Quản trị Hải quan - Ngoại thương,315,63,5,60.32
Hệ thống hoạch định nguồn lực doanh nghiệp,310,62,5,67.57
Công nghệ Tài chính,310,62,5,61.82
Bất động sản,305,61,5,67.77
Thị trường chứng khoán,295,59,5,67.63
Công nghệ nghệ thuật - ArtTech,295,59,5,48.98
Công nghệ thông tin,290,58,5,73.55
Tài chính,290,58,5,90.55
Marketing,275,55,5,79.22
Quản trị kinh doanh,275,55,5,80.68
Kiến trúc và thiết kế đô thị thông minh,275,55,5,62.18
Kiểm toán,270,54,5,71.25
Hệ thống thông tin quản lý,255,51,5,51.09
Kế toán công,255,51,5,79.08
Công nghệ và đổi mới sáng tạo,250,50,5,79.5
Hệ thống thông tin kinh doanh,250,50,5,78.86
Bảo hiểm,245,49,5,87.08
Khoa học dữ liệu,240,48,5,82.98
Kinh doanh số,235,47,5,63.21
Khoa học máy tính,230,46,5,50.46
Công nghệ Marketing,230,46,5,69.31
Kinh tế,230,46,5,78.53
Ngân hàng,230,46,5,81.9
Luật kinh doanh quốc tế,230,46,5,67.93
Kinh doanh thương mại,225,45,5,80.34
Kế toán doanh nghiệp,215,43,5,80.85
Công nghệ logistics tích hợp chứng chỉ FIATA,215,43,5,56.86
