resource_type,resource_title,recommended_times,students,avg_recommendation_score,avg_match_score,avg_quality_score,avg_popularity_score
ueh_repository,Ứng dụng công nghệ trí tuệ nhân tạo trong dịch vụ tài chính tại thị trường tài chính Việt Nam,251,251,74.77,69.57,80.0,50.0
tiki_book,Hiểu Về Trí Tuệ Nhân Tạo - AI,183,183,72.28,85.89,50.0,29.01
ueh_repository,Bảo vệ sức khỏe và phát triển thương mại quốc tế qua các tranh luận pháp lý về tính cần thiết và căn cứ khoa học trong biện pháp vệ sinh dịch tễ,176,176,77.57,74.47,80.0,50.0
ueh_repository,Giải pháp hoàn thiện hoạt động chuỗi cung ứng tại Công ty TNHH Thương mại và Dịch vụ Lâm Thanh,172,172,42.72,33.28,80.0,50.0
tiki_book,"Nghiệp Vụ Dành Cho Kế Toán Kiểm Toán Nội Bộ Chuẩn Mực, Nguyên Tắc Đạo Đức Nghề Nghiệp Và Quy Chế Kiểm Toán Nội Bộ Trong Các Cơ Quan Nhà Nước, Đơn Vị Sự Nghiệp Công Lập Và Doanh Nghiệp",156,156,68.16,68.3,77.25,29.51
tiki_book,Quản lý chuỗi cung ứng thực phẩm và logistics,129,129,69.62,59.73,89.08,60.17
tiki_book,Phân tích kỹ thuật trong thị trường tài chính,127,127,96.42,100.0,97.2,78.92
tiki_book,Thị Trường Tài Chính,126,126,86.0,93.43,78.9,47.5
ueh_repository,Chuyển đổi báo cáo tài chính từ chuẩn mực kế toán Việt Nam sang chuẩn mực báo cáo tài chính quốc tế - Nghiên cứu tại Công ty Cổ phần Khu công Nnghiệp Nam Tân Uyên,125,125,82.38,78.13,80.0,50.0
tiki_book,Tích Hợp Hệ Thống Tự Động Điều Khiển Quá Trình Công Nghệ Sinh Học Và Công Nghệ Thực Phẩm,125,125,76.43,87.68,74.57,10.29
ueh_repository,Ứng dụng Big Data và ai trong xây dựng và khai thác cơ sở dữ liệu quốc gia về giá bất động sản tại Việt Nam,119,119,57.44,53.24,80.0,50.0
tiki_book,- Quản Lý Dự Án Xây Dựng - Lập Và Thẩm Định Dự Án - TS. Bùi Ngọc Toàn - NXB Xây Dựng,118,118,84.17,98.15,50.0,50.0
ueh_repository,Nâng cao quản trị rủi ro các dự án đầu tư tại Ban quản lý dự án hạ tầng II – Tổng công ty Hạ tầng mạng (VNPT NET),117,117,49.39,39.83,80.0,50.0
tiki_book,"- Nhận Diện Nghệ Thuật Đồ Họa - Để nghiên cứu , sáng tác và giảng dạy Thiết Kế Đồ Họa ( Tặng kèm sổ tay xương rồng )",114,114,43.97,43.36,50.0,29.01
