repo_doc_id,repo_title,repo_year,repo_collection,matched_times,students,courses,avg_repo_score,avg_views
UEH/62540,Ứng dụng công nghệ trí tuệ nhân tạo trong dịch vụ tài chính tại thị trường tài chính Việt Nam,2021,Book Series,309,309,3,70.7,0.0
UEH/62432,Chuyển đổi báo cáo tài chính từ chuẩn mực kế toán Việt Nam sang chuẩn mực báo cáo tài chính quốc tế - Nghiên cứu tại Công ty Cổ phần Khu công Nnghiệp Nam Tân Uyên,2021,MASTER'S THESES,268,268,4,47.79,0.0
UEH/62516,Ứng dụng Big Data và ai trong xây dựng và khai thác cơ sở dữ liệu quốc gia về giá bất động sản tại Việt Nam,2021,Book Series,267,267,4,39.54,0.0
UEH/63972,Bảo vệ sức khỏe và phát triển thương mại quốc tế qua các tranh luận pháp lý về tính cần thiết và căn cứ khoa học trong biện pháp vệ sinh dịch tễ,2022,MASTER'S THESES,243,176,3,63.27,0.0
UEH/62960,Nâng cao quản trị rủi ro các dự án đầu tư tại Ban quản lý dự án hạ tầng II – Tổng công ty Hạ tầng mạng (VNPT NET),2021,MASTER'S THESES,229,229,4,32.99,0.0
UEH/63127,Nghiên cứu ảnh hưởng của nhận định giá trị các hoạt động Marketing nội dung trên Mạng xã hội đến đánh giá trải nghiệm và lòng trung thành thương hiệu của khách hàng,2021,MASTER'S THESES,206,160,4,26.23,0.0
UEH/61680,Tài liệu học tập Phân tích dữ liệu nghiên cứu với SPSS 2008 tập 1,2008,Business Statistics-Data Analysis,203,203,4,23.75,0.0
UEH/63925,Ứng dụng công nghệ Data Lake trong quản lý và khai phá dữ liệu của ngân hàng,2022,MASTER'S THESES,196,98,3,36.28,0.0
UEH/62673,"Doanh thu, chi phí và kết quả kinh doanh tại Công ty Cổ phần Sản xuất Kinh doanh Sơn Kim – Theo kế toán tài chính và kế toán quản trị",2021,MASTER'S THESES,179,111,3,30.84,0.0
UEH/61149,Áp dụng mô hình tam giác gian lận trong vấn đề đạo đức nghề nghiệp của kiểm toán viên Nhà nước,2020,MASTER'S THESES,176,176,3,43.42,0.0
UEH/63165,Phân tích hành vi khách hàng trong lĩnh vực bán lẻ với mô hình RFM tiếp cận bằng kỹ thuật học máy không giám sát,2022,MASTER'S THESES,175,175,2,40.65,0.0
UEH/63272,Giải pháp hoàn thiện hoạt động chuỗi cung ứng tại Công ty TNHH Thương mại và Dịch vụ Lâm Thanh,2021,MASTER'S THESES,172,172,2,33.28,0.0
UEH/63707,Hoàn thiện công tác lập dự toán ngân sách tại Công Ty TNHH Thương Mại Dịch Vụ Xuất Nhập Khẩu Song Kê,2022,MASTER'S THESES,171,108,3,22.81,0.0
UEH/62528,Áp dụng của tư duy thiết kế vào chuyển đổi số: lý thuyết và bài học thực tiễn,2021,Book Series,155,155,3,44.05,0.0
UEH/61563,Lack of digital marketing staff at Mobifone Service Company Region 8,2021,MASTER'S THESES,148,148,1,24.13,0.0
UEH/62556,Rủi ro phí bảo hiểm và việc xác định khả năng thanh toán của các doanh nghiệp bảo hiểm phi nhân thọ tại Việt Nam,2021,MASTER'S THESES,147,49,3,65.81,0.0
UEH/62544,Ảnh hưởng của các yếu tố tài chính hành vi suy nghiệm đến hiệu suất đầu tư của nhà đầu tư cá nhân trên thị trường chứng khoán Việt Nam,2021,MASTER'S THESES,136,68,2,49.54,0.0
