tiki_book_id,tiki_title,matched_times,students,courses,avg_tiki_score,avg_rating,avg_review_count,avg_quantity_sold
94851869,"Nghiệp Vụ Dành Cho Kế Toán Kiểm Toán Nội Bộ Chuẩn Mực, Nguyên Tắc Đạo Đức Nghề Nghiệp Và Quy Chế Kiểm Toán Nội Bộ Trong Các Cơ Quan Nhà Nước, Đơn Vị Sự Nghiệp Công Lập Và Doanh Nghiệp",327,273,5,47.11,5.0,2.0,18.0
243732948,"Giáo trình Tín dụng và thanh toán thương mại quốc tế (Tái bản lần thứ tư, có sửa chữa bổ sung)",226,113,4,46.99,5.0,1.0,34.0
259771506,Luật Kinh Doanh Bảo Hiểm,196,49,4,24.8,1.0,1.0,1.0
276237667,Tích Hợp Hệ Thống Tự Động Điều Khiển Quá Trình Công Nghệ Sinh Học Và Công Nghệ Thực Phẩm,188,125,3,71.3,5.0,1.0,1.0
279233260,Hiểu Về Trí Tuệ Nhân Tạo - AI,183,183,2,85.89,0.0,0.0,4.0
277392524,- Quản Lý Dự Án Xây Dựng - Lập Và Thẩm Định Dự Án - TS. Bùi Ngọc Toàn - NXB Xây Dựng,180,180,3,77.03,0.0,0.0,
279103684,Biểu Thuế Xuất Khẩu - Nhập Khẩu Năm 2026 (Export Import Tax 2026),171,108,3,32.72,0.0,0.0,1.0
278641815,Combo Quản Lý Công Nghệ Thông Tin Trong Y Tế + Hệ Thống Thông Tin Y Tế,153,51,3,24.99,0.0,0.0,
279085060,"Quy định pháp luật về xử phạt vi phạm trong hoạt động thương mại, sản xuất, buôn bán hàng giả, hàng cấm và bảo vệ quyền lợi người tiêu dùng",146,146,1,38.02,0.0,0.0,1.0
277413581,Định Giá Doanh Nghiệp Và Tài Sản - Ứng Dụng Trong Đầu Tư Tài Chính,136,136,2,27.54,4.0,5.0,77.0
273136011,Giáo Trình Cao Học - Quản Trị Kinh Doanh Quốc Tế_KT,134,67,2,54.23,0.0,0.0,2.0
279112554,- Right to Win For Vietnamese Agriculture - AgriS And Betrimex’s Path To Success In The Global Supply Chain,132,66,2,34.78,0.0,0.0,4.0
273744608,Quản lý chuỗi cung ứng thực phẩm và logistics,129,129,2,59.73,5.0,17.0,200.0
77339644,Phân tích kỹ thuật trong thị trường tài chính,127,127,1,100.0,4.8,97.0,464.0
531592,Thị Trường Tài Chính,126,126,1,93.43,4.6,8.0,71.0
75618660,Mật Mã Và An Toàn Thông Tin - Lý Thuyết Và Ứng Dụng,126,63,2,29.19,5.0,14.0,91.0
197857892,Tài Chính Quốc Tế,125,125,1,86.79,0.0,0.0,15.0
207201346,Pháp luật điều chỉnh hoạt động kinh doanh dịch vụ của công ty chứng khoán,125,125,2,26.6,0.0,0.0,3.0
273891502,LUẬT KINH DOANH BẤT ĐỘNG SẢN - LUẬT CĂN CƯỚC - LUẬT VIỄN THÔNG - NXB Chính Trị Quốc Gia Sự Thật,122,61,2,30.63,0.0,0.0,1.0
271997519,Giáo Trình Mạng Máy Tính Và Truyền Thông - TS. Phan Thanh Đức,121,121,2,39.83,5.0,1.0,5.0
279292266,"Hướng Dẫn Chế Độ Kế Toán Hành Chính, Sự Nghiệp Và Lập Báo Cáo Tài Chính Hợp Nhất Của Đơn Vị Kế Toán Cấp Trên (V2683T)",119,119,2,32.16,0.0,0.0,
260922789,"Khởi nghiệp công nghệ – Máu Bẩn (Bad Blood - Ảo tưởng, tham vọng, bí mật & sự dối trá trong vụ lừa đảo lớn nhất...)",118,118,2,58.04,0.0,0.0,1.0
274890405,"- Nhận Diện Nghệ Thuật Đồ Họa - Để nghiên cứu , sáng tác và giảng dạy Thiết Kế Đồ Họa ( Tặng kèm sổ tay xương rồng )",114,114,2,43.36,0.0,0.0,4.0
195792313,Tinh Hoa Kinh Tế Học (Essentials Of Economics) - Tặng sổ tay xương rồng,114,114,2,23.8,5.0,2.0,29.0
1208799,Nguyên Lý Quản Trị Chuỗi Cung Ứng,113,113,2,58.2,4.8,152.0,2436.0
63822864,Phân tích kinh tế - kỹ thuật các dự án đầu tư xây dựng,113,113,2,44.83,4.8,4.0,41.0
271583421,"Hệ Thống Chỉ Tiêu Thống Kê Cấp Tỉnh, Cấp Huyện, Cấp Xã theo Quyết định 05/2023/QĐ-TTg ngày 24/02/2023 - V2205T",112,112,2,22.9,0.0,0.0,
278226682,- Thiết Kế Hệ Thống Học Máy - Designing Machine Learning Systems,111,111,2,63.3,0.0,0.0,19.0
447075,Soạn Thảo Và Dịch Hợp Đồng Thương Mại Quốc Tế (Tái Bản),109,109,2,53.22,4.8,50.0,546.0
217928722,Tính Toán Thiết Kế Hệ Thống Phân Phối Truyền Tải Điện,109,109,2,24.43,0.0,0.0,5.0
279106463,Ngân hàng số - Nguyễn Quang Lộc - TH189,108,108,2,47.62,0.0,0.0,2.0
7164855,Cơ Sở Dữ Liệu Quan Hệ & Ứng Dụng,108,108,2,39.4,0.0,0.0,22.0
274869688,Từ Điển Kế Toán Và Kiểm Toán Anh - Việt (Dictionary Of Accounting And Auditing),108,54,2,28.3,0.0,0.0,3.0
42531744,Combo Sách : Learn Branding - Xây Dựng Thương Hiệu Tinh Gọn + Quản Trị Thương Hiệu Trực Tuyến,101,101,1,74.5,0.0,0.0,
257847632,Digital Marketing thực chiến,101,101,1,34.59,5.0,1.0,77.0
76013378,Storytelling With Data - Kể Chuyện Thông Qua Dữ Liệu (Cuốn Cẩm Nang Hướng Dẫn Trực Quan Hóa Dữ Liệu),98,98,1,76.51,5.0,1936.0,12836.0
29810872,Dữ Liệu Lớn - Big Data ( Tặng Bookmark Sáng Tạo ),98,98,1,46.38,0.0,0.0,2.0
278731661,Kế Toán Quản Trị - Managerial Accounting,94,94,2,69.16,0.0,0.0,1.0
1197799,Tóm Tắt - Bài Tập - Trắc Nghiệm Kinh Tế Vĩ Mô,92,46,2,91.57,5.0,137.0,571.0
278769828,Logistics Và Vận Tải Quốc Tế - TS. Trần Nguyễn Hợp Châu (Tái Bản 2025),86,43,2,69.64,0.0,0.0,12.0
270847837,Xác Suất Thống Kê (Dùng cho sinh viên các trường Kỹ Thuật và Công Nghệ),68,68,1,94.0,5.0,2.0,35.0
190743209,Toán tài chính ứng dụng,68,68,1,93.38,5.0,9.0,59.0
279336919,- Kỹ Thuật Phân Tích Đầu Tư Chứng Khoán (Tái Bản 2026),68,68,1,90.7,0.0,0.0,
196280121,HBR Onpoint 2021: Quản Lý Rủi Ro (Tái Bản 2022),68,68,1,39.01,4.8,6.0,92.0
276290847,Đầu Tư Vào Vàng - Khoản Đầu Tư Tuyệt Đối An Toàn Thiết Yếu Cho Mọi Danh Mục Đầu Tư (Tái Bản 2024),68,68,1,35.66,0.0,0.0,5.0
277041821,Xuất Khẩu Hàng Nông Sản Chủ Lực Của Việt Nam Sang Thị Trường Liên Minh Châu Âu (EU) Đến Năm 2025 (Sách Chuyên Khảo),68,68,1,33.47,0.0,0.0,1.0
273536991,The Finance Book - Tài Chính Doanh Nghiệp-Cuốn Sách Kinh Doanh Hay,68,68,1,22.91,0.0,0.0,1.0
278711641,Tài Chính Cá Nhân Căn Bản - Personal Finance 101,68,68,1,21.96,4.5,2.0,116.0
