source_system,event_type,events,avg_interaction_weight
dspace_repository,download_pdf,3198,4.0
dspace_repository,open_fulltext,3152,2.2
dspace_repository,repository_search,3249,0.8
dspace_repository,view_collection,3188,0.7
dspace_repository,view_metadata,3141,1.0
ebsco_onesearch,filter_apply,1783,0.4
ebsco_onesearch,open_database,1715,0.8
ebsco_onesearch,search_query,5280,0.6
ebsco_onesearch,search_result_click,1782,1.2
openathens,access_denied,395,0.0
openathens,access_granted,10613,0.2
openathens,login,11008,0.1
openathens,session_end,11008,0.1
openathens,session_start,11008,0.1
sierra_circulation,borrow,1681,5.0
sierra_circulation,hold_request,2694,3.0
sierra_circulation,item_view,4402,0.8
sierra_circulation,renew,377,3.0
sierra_circulation,return,993,2.0
