major,students,events,avg_events_per_student
Kinh doanh quốc tế,67,2878,42.96
Kinh doanh nông nghiệp,68,2877,42.31
Đầu tư tài chính,68,2867,42.16
Toán tài chính,68,2753,40.49
An toàn thông tin,63,2628,41.71
Kỹ sư Robot và Trí tuệ nhân tạo,63,2628,41.71
Logistics và Quản lý chuỗi cung ứng,66,2605,39.47
Quản trị Hải quan - Ngoại thương,63,2558,40.6
Quản lý công,66,2533,38.38
Bất động sản,61,2525,41.39
Kinh tế đầu tư,63,2517,39.95
Công nghệ Tài chính,62,2469,39.82
Hệ thống hoạch định nguồn lực doanh nghiệp,62,2326,37.52
Công nghệ nghệ thuật - ArtTech,59,2316,39.25
Tài chính,58,2302,39.69
Thị trường chứng khoán,59,2286,38.75
Công nghệ thông tin,58,2271,39.16
Kiểm toán,54,2244,41.56
Marketing,55,2184,39.71
Quản trị kinh doanh,55,2117,38.49
Khoa học dữ liệu,48,2074,43.21
Hệ thống thông tin quản lý,51,2066,40.51
Kiến trúc và thiết kế đô thị thông minh,55,2065,37.55
Kế toán công,51,2027,39.75
Khoa học máy tính,46,2022,43.96
Bảo hiểm,49,1999,40.8
Hệ thống thông tin kinh doanh,50,1988,39.76
Kinh doanh số,47,1962,41.74
Công nghệ và đổi mới sáng tạo,50,1936,38.72
Luật kinh doanh quốc tế,46,1929,41.93
Ngân hàng,46,1921,41.76
Công nghệ Marketing,46,1906,41.43
Công nghệ logistics tích hợp chứng chỉ FIATA,43,1800,41.86
Kinh doanh thương mại,45,1775,39.44
Kinh tế,46,1736,37.74
Kế toán doanh nghiệp,43,1577,36.67
