major,major_norm,course,course_norm,rank,resource_type,resource_id,resource_title,score,confidence,match_reason,url,price,rating_average,review_count,quantity_sold,source_keys,year,collection,views,authors,popularity_score
An toàn thông tin,an toan thong tin,An toàn hệ thống thông tin,an toan he thong thong tin,1,tiki_book,403233,Hệ Thống Thông Tin Kế Toán (Tập 3),26.64,low,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,https://tiki.vn/sach-he-thong-thong-tin-ke-toan-tap-3-p403233.html?spid=89424675,85000,4.0,1,24,chuẩn mực kế toán,,,,,8.2586
An toàn thông tin,an toan thong tin,An toàn hệ thống thông tin,an toan he thong thong tin,2,tiki_book,275022845,Hệ Thống Thông Tin Kế Toán - Báo Cáo Kế Toán Theo Phương Pháp Thủ Công - KT,26.64,low,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,https://tiki.vn/he-thong-thong-tin-ke-toan-bao-cao-ke-toan-theo-phuong-phap-thu-cong-kt-p275022845.html?spid=275454700,499000,0.0,0,1,sách kế toán; chuẩn mực kế toán,,,,,0.6931
An toàn thông tin,an toan thong tin,An toàn hệ thống thông tin,an toan he thong thong tin,3,tiki_book,279395032,- Hệ Thống Thông Tin Kế Toán - Báo Cáo Kế Toán Theo Phương Pháp Thủ Công,26.64,low,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,https://tiki.vn/sach-he-thong-thong-tin-ke-toan-bao-cao-ke-toan-theo-phuong-phap-thu-cong-p279395032.html?spid=279395033,499000,0.0,0,,sách kế toán; chuẩn mực kế toán,,,,,0.0
An toàn thông tin,an toan thong tin,An toàn hệ thống thông tin,an toan he thong thong tin,1,ueh_repository,UEH/63105,Hoàn thiện hệ thống thông tin kế toán tại Công ty TNHH MTV Dịch vụ Công ích Quận 4,32.53,medium,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,https://digital.lib.ueh.edu.vn/handle/UEH/63105,,,,,,2021,MASTER'S THESES,0,Nguyễn Thái Bình,
An toàn thông tin,an toan thong tin,An toàn hệ thống thông tin,an toan he thong thong tin,2,ueh_repository,UEH/63456,Các nhân tố ảnh hưởng đến lợi ích thuần được cảm nhận của người sử dụng hệ thống thông tin kế toán trong các doanh nghiệp tại Thành Phố Hồ Chí Minh,30.3,medium,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,https://digital.lib.ueh.edu.vn/handle/UEH/63456,,,,,,2021,MASTER'S THESES,0,Võ Phước Quang,
An toàn thông tin,an toan thong tin,An toàn hệ thống thông tin,an toan he thong thong tin,3,ueh_repository,UEH/63472,Hoàn thiện hệ thống thông tin kế toán nhằm đáp ứng yêu cầu quản lý tại Trường Cao đẳng Nghề Thành phố Hồ Chí Minh,30.3,medium,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,https://digital.lib.ueh.edu.vn/handle/UEH/63472,,,,,,2021,MASTER'S THESES,0,Bùi Ngọc Thanh Trang,
An toàn thông tin,an toan thong tin,Bảo mật mạng máy tính,bao mat mang may tinh,1,tiki_book,271997519,Giáo Trình Mạng Máy Tính Và Truyền Thông - TS. Phan Thanh Đức,21.85,low,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,https://tiki.vn/giao-trinh-mang-may-tinh-va-truyen-thong-ts-phan-thanh-duc-p271997519.html?spid=271997520,120000,5.0,1,5,mạng máy tính,,,,,7.8315
An toàn thông tin,an toan thong tin,Bảo mật mạng máy tính,bao mat mang may tinh,2,tiki_book,271313297,- Giáo trình Mạng máy tính và truyền thông,21.85,low,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,https://tiki.vn/sach-giao-trinh-mang-may-tinh-va-truyen-thong-p271313297.html?spid=279339586,117600,0.0,0,,mạng máy tính,,,,,0.0
An toàn thông tin,an toan thong tin,Bảo mật mạng máy tính,bao mat mang may tinh,3,tiki_book,275786344,Giáo Trình Mạng Máy Tính - Nguyễn Thế Lộc (ĐHSP),21.75,low,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,https://tiki.vn/giao-trinh-mang-may-tinh-nguyen-the-loc-dhsp-p275786344.html?spid=275786345,95000,5.0,2,13,mạng máy tính,,,,,9.287
An toàn thông tin,an toan thong tin,Bảo mật mạng máy tính,bao mat mang may tinh,1,ueh_repository,UEH/63911,"Tác động của tính bảo mật, sự riêng tư, danh tiếng của nhà cung cấp và thái độ của người tiêu dùng đến ý định mua sắm trực tuyến",9.87,low,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,https://digital.lib.ueh.edu.vn/handle/UEH/63911,,,,,,2022,MASTER'S THESES,0,Nguyễn Thanh Mai,
