student_token,email_order,email_line,recommendation_score,resource_url
stu_000c7c111a0a0389,1,[high_priority] Ứng dụng công nghệ trí tuệ nhân tạo trong dịch vụ tài chính tại thị trường tài chính Việt  - Trí tuệ nhân tạo,84.32,https://digital.lib.ueh.edu.vn/handle/UEH/62540
stu_000c7c111a0a0389,2,[high_priority] Công Nghệ Thông Tin- Giáo Trình C++ Và Lập Trình Hướng Đối Tượng - Lập trình hướng đối tượng,82.01,https://tiki.vn/sach-cong-nghe-thong-tin-giao-trinh-c-va-lap-trinh-huong-doi-tuong-p273585809.html?spid=277460817
stu_000c7c111a0a0389,3,[high_priority] Hiểu Về Trí Tuệ Nhân Tạo - AI - Trí tuệ nhân tạo,81.85,https://tiki.vn/sach-hieu-ve-tri-tue-nhan-tao-ai-p279233260.html?spid=279233261
stu_0015bc6641cd2650,1,[high_priority] Thuế Và Kế Toán Thuế 2022 - Áp Dụng Cho Các Doanh nghiệp Việt Nam - Kế toán thuế,85.09,https://tiki.vn/thue-va-ke-toan-thue-2022-ap-dung-cho-cac-doanh-nghiep-viet-nam-p209601948.html?spid=209601949
stu_0015bc6641cd2650,2,[high_priority] Giải pháp hoàn thiện hoạt động kiểm toán ngân sách địa phương tại Kiểm toán Nhà nước khu v - Kiểm toán nhà nước,83.47,https://digital.lib.ueh.edu.vn/handle/UEH/61237
stu_0015bc6641cd2650,3,[high_priority] Cân đối ngân sách nhà nước trong điều kiện áp dụng Luật Ngân sách Nhà nước năm 2015 – Trườ - Luật ngân sách nhà nước,80.1,https://digital.lib.ueh.edu.vn/handle/UEH/62678
stu_004191135ece3f93,1,[high_priority] Toán tài chính ứng dụng - Toán tài chính ứng dụng,86.85,https://tiki.vn/toan-tai-chinh-ung-dung-p190743209.html?spid=190743210
stu_004191135ece3f93,2,[high_priority] Xác Suất Thống Kê (Dùng cho sinh viên các trường Kỹ Thuật và Công Nghệ) - Xác suất và thống kê,82.5,https://tiki.vn/xac-suat-thong-ke-dung-cho-sinh-vien-cac-truong-ky-thuat-va-cong-nghe-tai-ban-lan-thu-tu-nam-2023-p270847837.html?spid=270847838
stu_004191135ece3f93,3,[optional] HBR Onpoint 2021: Quản Lý Rủi Ro (Tái Bản 2022) - Quản lý rủi ro định lượng,52.17,https://tiki.vn/hbr-onpoint-2021-quan-ly-rui-ro-tai-ban-2022-p196280121.html?spid=197410266
stu_00425f58ce521820,1,[high_priority] Thực trạng thực thi pháp luật về quy hoạch đô thị trên địa bàn tỉnh Cà Mau - Quy hoạch đô thị,95.5,https://digital.lib.ueh.edu.vn/handle/UEH/61148
stu_00425f58ce521820,2,[high_priority] - Quản Lý Dự Án Xây Dựng - Lập Và Thẩm Định Dự Án - TS. Bùi Ngọc Toàn - NXB Xây Dựng - Quản lý dự án xây dựng,84.22,https://tiki.vn/sach-quan-ly-du-an-xay-dung-lap-va-tham-dinh-du-an-ts-bui-ngoc-toan-nxb-xay-dung-p277392524.html?spid=279333156
stu_00425f58ce521820,3,[optional] Nâng cao quản trị rủi ro các dự án đầu tư tại Ban quản lý dự án hạ tầng II – Tổng công ty  - Quản lý dự án xây dựng,48.62,https://digital.lib.ueh.edu.vn/handle/UEH/62960
stu_006661cad9063305,1,[high_priority] Các nhân tố ảnh hưởng đến sự thỏa mãn của nhân viên kế toán trong việc sử dụng hệ thống ho - Hệ thống ERP,93.98,https://digital.lib.ueh.edu.vn/handle/UEH/63276
stu_006661cad9063305,2,[high_priority] Tích Hợp Hệ Thống Tự Động Điều Khiển Quá Trình Công Nghệ Sinh Học Và Công Nghệ Thực Phẩm - Tích hợp hệ thống,81.75,https://tiki.vn/tich-hop-he-thong-tu-dong-dieu-khien-qua-trinh-cong-nghe-sinh-hoc-va-cong-nghe-thuc-pham-p276237667.html?spid=276237668
stu_006661cad9063305,3,[optional] Hoàn thiện hệ thống quản lý chất lượng tích hợp tại Công ty Cổ phần Mỹ phẩm Sài Gòn (SCC) - Tích hợp hệ thống,57.88,https://digital.lib.ueh.edu.vn/handle/UEH/62975
