student_token,student_hash,gender,major,major_norm,cohort,course_order,course,course_norm,tiki_book_id,tiki_title,tiki_score,tiki_confidence,repo_doc_id,repo_title,repo_score,repo_confidence,privacy_level,pii_removed,pii_fields_removed,privacy_transform_version,tiki_match_reason,tiki_price,tiki_rating_average,tiki_review_count,tiki_quantity_sold,tiki_source_keys,tiki_url,repo_match_reason,repo_year,repo_collection,repo_views,repo_authors,repo_url
stu_887e9c399f3eeac2,05344f2de3707d884049b6469bbb68c0409351a47b9d42c3724280b95e02ab08,Nữ,Công nghệ thông tin,cong nghe thong tin,23,1,Lập trình hướng đối tượng,lap trinh huong doi tuong,273585809,Công Nghệ Thông Tin- Giáo Trình C++ Và Lập Trình Hướng Đối Tượng,93.35,high,UEH/63077,Các nhân tố ảnh hưởng đến sự hài lòng của đối tượng cung cấp thông tin về điều tra thống kê tại Cục Thống kê tỉnh Long An,13.38,low,internal,True,student_id; student_code; student_name; student_name_norm,privacy_v1,exact_course_in_title; exact_major_in_title,165733,0.0,0,,công nghệ thông tin; sách công nghệ thông tin,https://tiki.vn/sach-cong-nghe-thong-tin-giao-trinh-c-va-lap-trinh-huong-doi-tuong-p273585809.html?spid=277460817,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,2021,MASTER'S THESES,0,Phan Ngọc Bình,https://digital.lib.ueh.edu.vn/handle/UEH/63077
stu_887e9c399f3eeac2,05344f2de3707d884049b6469bbb68c0409351a47b9d42c3724280b95e02ab08,Nữ,Công nghệ thông tin,cong nghe thong tin,23,2,Cơ sở dữ liệu,co so du lieu,7164855,Cơ Sở Dữ Liệu Quan Hệ & Ứng Dụng,55.12,medium,UEH/62516,Ứng dụng Big Data và ai trong xây dựng và khai thác cơ sở dữ liệu quốc gia về giá bất động sản tại Việt Nam,55.89,medium,internal,True,student_id; student_code; student_name; student_name_norm,privacy_v1,exact_course_in_title; exact_course_in_secondary_text,68000,0.0,0,22.0,cơ sở dữ liệu; khoa học dữ liệu; sách khoa học dữ liệu,https://tiki.vn/sach-co-so-du-lieu-quan-he-ung-dung-p7164855.html?spid=188782912,exact_course_in_title; exact_course_in_secondary_text,2021,Book Series,0,Nguyễn Quỳnh Hoa; Huỳnh Kiều Tiên; Hay Sinh; Trần Bích Vân; Nguyễn Kim Đức; Nguyễn Thị Tuyết Nhung,https://digital.lib.ueh.edu.vn/handle/UEH/62516
stu_887e9c399f3eeac2,05344f2de3707d884049b6469bbb68c0409351a47b9d42c3724280b95e02ab08,Nữ,Công nghệ thông tin,cong nghe thong tin,23,3,Mạng máy tính,mang may tinh,271997519,Giáo Trình Mạng Máy Tính Và Truyền Thông - TS. Phan Thanh Đức,59.36,medium,UEH/62896,Quản lý nhà nước về ứng dụng công nghệ thông tin trên địa bàn tỉnh An Giang,8.57,low,internal,True,student_id; student_code; student_name; student_name_norm,privacy_v1,exact_course_in_title; exact_course_in_secondary_text,120000,5.0,1,5.0,mạng máy tính,https://tiki.vn/giao-trinh-mang-may-tinh-va-truyen-thong-ts-phan-thanh-duc-p271997519.html?spid=271997520,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text; exact_major_in_title,2021,MASTER'S THESES,0,Mai Châu Giang,https://digital.lib.ueh.edu.vn/handle/UEH/62896
stu_887e9c399f3eeac2,05344f2de3707d884049b6469bbb68c0409351a47b9d42c3724280b95e02ab08,Nữ,Công nghệ thông tin,cong nghe thong tin,23,4,Phát triển phần mềm,phat trien phan mem,271319520,Giáo trình kỹ nghệ phần mềm,32.07,medium,UEH/62787,Các yếu tố ảnh hưởng đến quá trình chia sẻ tri thức và năng lực đổi mới của tổ chức: nghiên cứu trường hợp các công ty công nghệ thông tin phần mềm tại Thành phố Hồ Chí Minh,13.64,low,internal,True,student_id; student_code; student_name; student_name_norm,privacy_v1,partial_course_tokens_in_title; exact_course_in_secondary_text,36000,0.0,0,6.0,phát triển phần mềm,https://tiki.vn/giao-trinh-ky-nghe-phan-mem-p271319520.html?spid=271319521,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text; exact_major_in_title,2021,MASTER'S THESES,0,Đinh Võ Quan,https://digital.lib.ueh.edu.vn/handle/UEH/62787
stu_887e9c399f3eeac2,05344f2de3707d884049b6469bbb68c0409351a47b9d42c3724280b95e02ab08,Nữ,Công nghệ thông tin,cong nghe thong tin,23,5,Trí tuệ nhân tạo,tri tue nhan tao,279233260,Hiểu Về Trí Tuệ Nhân Tạo - AI,100.0,high,UEH/62540,Ứng dụng công nghệ trí tuệ nhân tạo trong dịch vụ tài chính tại thị trường tài chính Việt Nam,81.37,high,internal,True,student_id; student_code; student_name; student_name_norm,privacy_v1,exact_course_in_title; exact_course_in_secondary_text,123200,0.0,0,4.0,trí tuệ nhân tạo,https://tiki.vn/sach-hieu-ve-tri-tue-nhan-tao-ai-p279233260.html?spid=279233261,exact_course_in_title; exact_course_in_secondary_text,2021,Book Series,0,TS. Ngô Minh Vũ; TS. Nguyễn Hữu Huân,https://digital.lib.ueh.edu.vn/handle/UEH/62540
stu_887e9c399f3eeac2,05344f2de3707d884049b6469bbb68c0409351a47b9d42c3724280b95e02ab08,Nữ,Công nghệ thông tin,cong nghe thong tin,23,6,Điện toán đám mây,dien toan dam may,5929511,Cố Định Một Đám Mây,41.99,medium,UEH/63406,Các nhân tố ảnh hưởng đến nhu cầu sử dụng dịch vụ kế toán của các doanh nghiệp dùng kế toán đám mây trên địa bàn TP. Hồ Chí Minh,40.54,medium,internal,True,student_id; student_code; student_name; student_name_norm,privacy_v1,partial_course_tokens_in_title; exact_course_in_secondary_text,102500,4.6,37,2044.0,điện toán đám mây,https://tiki.vn/sach-co-dinh-mot-dam-may-p5929511.html?spid=5929513,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,2021,MASTER'S THESES,0,Trần Thị Hảo,https://digital.lib.ueh.edu.vn/handle/UEH/63406
stu_8002dc46fb90561e,4b2f5ebff676c5603f4ea3aaa669b9fa2d87e9333d54c5c3fcde569c03194c66,Nam,Công nghệ Tài chính,cong nghe tai chinh,25,1,Công nghệ Blockchain,cong nghe blockchain,5563321,"Bùng Nổ Bitcoin - Công Nghệ Blockchain, Fintech 4.0 hay Bong Bóng?",64.69,medium,UEH/62541,Xây dựng thị trường chứng khoán phi tập trung dựa trên công nghệ Blockchain,68.22,high,internal,True,student_id; student_code; student_name; student_name_norm,privacy_v1,exact_course_in_title,248000,5.0,20,200.0,fintech,https://tiki.vn/bung-no-bitcoin-cong-nghe-blockchain-fintech-4-0-hay-bong-bong-p5563321.html?spid=20485533,exact_course_in_title; exact_course_in_secondary_text,2021,Book Series,0,TS. Nguyễn Hữu Huân; TS. Ngô Minh Vũ; ThS. Trần Nguyễn Trâm Anh,https://digital.lib.ueh.edu.vn/handle/UEH/62541
stu_8002dc46fb90561e,4b2f5ebff676c5603f4ea3aaa669b9fa2d87e9333d54c5c3fcde569c03194c66,Nam,Công nghệ Tài chính,cong nghe tai chinh,25,2,Thanh toán số,thanh toan so,2287441,​Fintech 4.0 - Những Điển Hình Thành Công Trong Cuộc Cách Mạng Công Nghệ Tài Chính,10.75,low,UEH/63411,Các yếu tố ảnh hưởng đến sự chấp nhận và truyền miệng điện tử (E-WOM) dịch vụ thanh toán điện tử của người tiêu dùng tại Thành phố Hồ Chí Minh,24.77,low,internal,True,student_id; student_code; student_name; student_name_norm,privacy_v1,partial_course_tokens_in_title; exact_major_in_title,55900,4.6,36,916.0,fintech,https://tiki.vn/sach-fintech-4-0-nhung-dien-hinh-thanh-cong-trong-cuoc-cach-mang-cong-nghe-tai-chinh-p2287441.html?spid=2287663,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,2021,MASTER'S THESES,0,Ngô Phi Duy Ý,https://digital.lib.ueh.edu.vn/handle/UEH/63411
stu_8002dc46fb90561e,4b2f5ebff676c5603f4ea3aaa669b9fa2d87e9333d54c5c3fcde569c03194c66,Nam,Công nghệ Tài chính,cong nghe tai chinh,25,3,Phân tích dữ liệu tài chính,phan tich du lieu tai chinh,202028583,Phân Tích Dữ Liệu Với R (Tái Bản 2022),37.47,medium,UEH/61680,Tài liệu học tập Phân tích dữ liệu nghiên cứu với SPSS 2008 tập 1,22.68,low,internal,True,student_id; student_code; student_name; student_name_norm,privacy_v1,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,250000,5.0,1,27.0,phân tích cơ bản; phân tích dữ liệu; Excel phân tích dữ liệu; R statistics,https://tiki.vn/sach-phan-tich-du-lieu-voi-r-tai-ban-2022-p202028583.html?spid=247795504,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,2008,Business Statistics-Data Analysis,0,Hoàng Trọng; Chu Nguyễn Mộng Ngọc,https://digital.lib.ueh.edu.vn/handle/UEH/61680
stu_8002dc46fb90561e,4b2f5ebff676c5603f4ea3aaa669b9fa2d87e9333d54c5c3fcde569c03194c66,Nam,Công nghệ Tài chính,cong nghe tai chinh,25,4,Fintech và ngân hàng số,fintech va ngan hang so,279106463,Ngân hàng số - Nguyễn Quang Lộc - TH189,25.18,low,UEH/62533,Rủi ro an ninh mạng trong hoạt động ngân hàng số: trường hợp Việt Nam,23.23,low,internal,True,student_id; student_code; student_name; student_name_norm,privacy_v1,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,159000,0.0,0,2.0,ngân hàng; ngân hàng số,https://tiki.vn/ngan-hang-so-nguyen-quang-loc-th189-p279106463.html?spid=279106464,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,2021,Book Series,0,TS. Phan Chung Thủy; TS. Phan Thu Hiền; ThS. Huỳnh Ngọc Quang Anh,https://digital.lib.ueh.edu.vn/handle/UEH/62533
