student_token,student_hash,student_code_masked,student_name_initials,gender,major,major_norm,cohort,privacy_level,contains_raw_pii,contains_debug_masks,mapping_scope,token_version,privacy_transform_version
stu_887e9c399f3eeac2,05344f2de3707d884049b6469bbb68c0409351a47b9d42c3724280b95e02ab08,312310*****,V.B.H.,Nữ,Công nghệ thông tin,cong nghe thong tin,23,restricted,False,True,student_identity,token_v1,privacy_v1
stu_8002dc46fb90561e,4b2f5ebff676c5603f4ea3aaa669b9fa2d87e9333d54c5c3fcde569c03194c66,312510*****,T.Đ.B.,Nam,Công nghệ Tài chính,cong nghe tai chinh,25,restricted,False,True,student_identity,token_v1,privacy_v1
stu_fb18079137a4b08a,1c1f2af68dce1450e3a4f033d67be20609198ac5f055696c81b2085469cc9959,312310*****,Đ.G.A.,Nam,Bảo hiểm,bao hiem,23,restricted,False,True,student_identity,token_v1,privacy_v1
stu_3143d063bc0c83b3,80308515ebfe7eb06ade01222e2db497927fc4e6c7e04e6917c18a3e16b1d654,312310*****,V.Á.Y.,Nữ,Kỹ sư Robot và Trí tuệ nhân tạo,ky su robot va tri tue nhan tao,23,restricted,False,True,student_identity,token_v1,privacy_v1
stu_02de5376ad86d3da,32a09a230de6231562f40dfc085eb1fa620b581107b537b5903b22a159efd179,312310*****,N.T.N.,Nam,Kiểm toán,kiem toan,23,restricted,False,True,student_identity,token_v1,privacy_v1
stu_b2a4d5a2ad69f1ca,6cbf24af62d68513f32ec21c52100a59efe3f669d2d6b1fe66fc0bff99b69926,312310*****,L.Đ.D.,Nam,Đầu tư tài chính,dau tu tai chinh,23,restricted,False,True,student_identity,token_v1,privacy_v1
stu_aaa04038e1f8315f,f49b1dae48d9461052dd5eaca916489babc733577a12299a014aebc6e9e5d9b0,312410*****,T.Á.V.,Nữ,Kinh doanh thương mại,kinh doanh thuong mai,24,restricted,False,True,student_identity,token_v1,privacy_v1
stu_550759eeee5c02ba,19b3ce4e15fd822f4c01a30063126eff615790eb29c14facfe860416405b7240,312410*****,M.T.Y.,Nữ,Công nghệ thông tin,cong nghe thong tin,24,restricted,False,True,student_identity,token_v1,privacy_v1
stu_fcd725610c9b2a50,d77299ffe4a1b82bba7db818ec3bef50a982c78c7bba7e378735cbb658402687,312510*****,V.T.C.,Nam,Hệ thống thông tin quản lý,he thong thong tin quan ly,25,restricted,False,True,student_identity,token_v1,privacy_v1
stu_bdb9043227dffa11,a4c27893ca9bf9238cbdc3d105070779bbd6433fa4c70e730921de53c85121d1,312310*****,D.T.L.,Nữ,Kế toán doanh nghiệp,ke toan doanh nghiep,23,restricted,False,True,student_identity,token_v1,privacy_v1
stu_c747f8b792b3c0af,d15ab9b36b260a2d8110c41736d7bc762bc7cb8985959ee837d956556aff9e6d,312410*****,L.L.L.,Nữ,Kinh tế,kinh te,24,restricted,False,True,student_identity,token_v1,privacy_v1
stu_8fa20898ef36abaf,5a09e03382cf8cc935ae98b7a01385a6283f9bfa4e745ce672386017a6752a87,312510*****,D.Đ.N.,Nam,Toán tài chính,toan tai chinh,25,restricted,False,True,student_identity,token_v1,privacy_v1
stu_399000cc602cd2be,f71bec6d6dc61f7ff66ccfc07776d3ad4c4d9bdce42cb6bebaa908819daf2872,312310*****,T.B.C.,Nữ,Kỹ sư Robot và Trí tuệ nhân tạo,ky su robot va tri tue nhan tao,23,restricted,False,True,student_identity,token_v1,privacy_v1
stu_2fee7db7a4cd14f8,35531f95cb8551f106ad5cbb3434d3bb5846bcc1fa2fa6f5b07035b507db8793,312410*****,P.G.Q.,Nam,Kinh doanh quốc tế,kinh doanh quoc te,24,restricted,False,True,student_identity,token_v1,privacy_v1
