doc_id,year,title,title_norm,abstract,abstract_norm,collection,authors,author_count,views,uri,url,match_text_norm
UEH/61001,2020,Hoàn thiện công tác quản lý thuế thu nhập cá nhân tại chi cục thuế huyện Châu Thành tỉnh Đồng Tháp,hoan thien cong tac quan ly thue thu nhap ca nhan tai chi cuc thue huyen chau thanh tinh dong thap,"Thuế thu nhập cá nhân cũng như các sắc thuế khác đều góp phần ổn định thu cho ngân sách nhà nước trong quá trình hội nhập. Việc quản lý thuế thu nhập cá nhân cần phải từng bước, tiến tới kiểm soát được thu nhập nhưng vẫn phải đảm bảo tính công bằng, minh bạch và công khai, nhằm hướng tới mục tiêu hoạch định chính sách phát triển kinh tế - xã hội, chủ động hội nhập kinh tế quốc tế trong giai đoạn hiện nay. Hoàn thiện công tác quản lý thuế nói chung, thuế thu nhập cá nhân nói riêng là việc hết sức",thue thu nhap ca nhan cung nhu cac sac thue khac deu gop phan on dinh thu cho ngan sach nha nuoc trong qua trinh hoi nhap viec quan ly thue thu nhap ca nhan can phai tung buoc tien toi kiem soat duoc thu nhap nhung van phai dam bao tinh cong bang minh bach va cong khai nham huong toi muc tieu hoach dinh chinh sach phat trien kinh te xa hoi chu dong hoi nhap kinh te quoc te trong giai doan hien nay hoan thien cong tac quan ly thue noi chung thue thu nhap ca nhan noi rieng la viec het suc,MASTER'S THESES,Trần Thị Như Hạnh,1,0,http://digital.lib.ueh.edu.vn/handle/UEH/61001,https://digital.lib.ueh.edu.vn/handle/UEH/61001,hoan thien cong tac quan ly thue thu nhap ca nhan tai chi cuc thue huyen chau thanh tinh dong thap thue thu nhap ca nhan cung nhu cac sac thue khac deu gop phan on dinh thu cho ngan sach nha nuoc trong qua trinh hoi nhap viec quan ly thue thu nhap ca nhan can phai tung buoc tien toi kiem soat duoc thu nhap nhung van phai dam bao tinh cong bang minh bach va cong khai nham huong toi muc tieu hoach dinh chinh sach phat trien kinh te xa hoi chu dong hoi nhap kinh te quoc te trong giai doan hien nay hoan thien cong tac quan ly thue noi chung thue thu nhap ca nhan noi rieng la viec het suc master s theses
UEH/61002,2020,Phát triển thị trường chứng khoán và tăng trưởng kinh tế: vai trò của độ mở thương mại và kiểm soát tham nhũng tại các nước đang phát triển,phat trien thi truong chung khoan va tang truong kinh te vai tro cua do mo thuong mai va kiem soat tham nhung tai cac nuoc dang phat trien,"Luận án nghiên cứu tác động của phát triển thị trường chứng khoán đến tăng trưởng kinh tế khi có vai trò của độ mở thương mại và kiểm soát tham nhũng tại các nước đang phát triển. Luận án quan tâm ba mục tiêu: (1) Phát triển thị trường chứng khoán và tăng trưởng kinh tế: vai trò độ mở thương mại; (2) Phát triển thị trường chứng khoán và tăng trưởng kinh tế: vai trò kiểm soát tham nhũng; (3) Kiểm soát tham nhũng và tăng trưởng kinh tế: vai trò độ mở thương mại. Để giải quyết ba mục tiêu này, luận",luan an nghien cuu tac dong cua phat trien thi truong chung khoan den tang truong kinh te khi co vai tro cua do mo thuong mai va kiem soat tham nhung tai cac nuoc dang phat trien luan an quan tam ba muc tieu 1 phat trien thi truong chung khoan va tang truong kinh te vai tro do mo thuong mai 2 phat trien thi truong chung khoan va tang truong kinh te vai tro kiem soat tham nhung 3 kiem soat tham nhung va tang truong kinh te vai tro do mo thuong mai de giai quyet ba muc tieu nay luan,DISSERTATIONS,Phạm Thị Hồng Vân,1,0,http://digital.lib.ueh.edu.vn/handle/UEH/61002,https://digital.lib.ueh.edu.vn/handle/UEH/61002,phat trien thi truong chung khoan va tang truong kinh te vai tro cua do mo thuong mai va kiem soat tham nhung tai cac nuoc dang phat trien luan an nghien cuu tac dong cua phat trien thi truong chung khoan den tang truong kinh te khi co vai tro cua do mo thuong mai va kiem soat tham nhung tai cac nuoc dang phat trien luan an quan tam ba muc tieu 1 phat trien thi truong chung khoan va tang truong kinh te vai tro do mo thuong mai 2 phat trien thi truong chung khoan va tang truong kinh te vai tro kiem soat tham nhung 3 kiem soat tham nhung va tang truong kinh te vai tro do mo thuong mai de giai quyet ba muc tieu nay luan dissertations
UEH/61003,2020,Cơ sở pháp lý cho tổ chức và hoạt động của doanh nghiệp kinh doanh dịch vụ Logistics trong bối cảnh hội nhập quốc tế,co so phap ly cho to chuc va hoat dong cua doanh nghiep kinh doanh dich vu logistics trong boi canh hoi nhap quoc te,"Nền kinh tế Việt Nam đang hòa mình vào sự tăng trưởng chung của nền kinh tế toàn cầu. Việt Nam là một quốc gia đứng đầu trong các thị trường Logistics mới nổi và xếp hạng cao nhất trong số các nước thu nhập trung bình thấp. Sự phát triển của ngành Logistics sẽ có tác dụng tăng khả năng cạnh tranh của nền kinh tế quốc dân. Hiện tại, hệ thống pháp luật cho quản trị Logistics tại Việt Nam chưa hoàn thiện, các doanh nghiệp Logistics không biết tận dụng tiềm năng phát triển. Để nâng cao chất lượng Lo",nen kinh te viet nam dang hoa minh vao su tang truong chung cua nen kinh te toan cau viet nam la mot quoc gia dung dau trong cac thi truong logistics moi noi va xep hang cao nhat trong so cac nuoc thu nhap trung binh thap su phat trien cua nganh logistics se co tac dung tang kha nang canh tranh cua nen kinh te quoc dan hien tai he thong phap luat cho quan tri logistics tai viet nam chua hoan thien cac doanh nghiep logistics khong biet tan dung tiem nang phat trien de nang cao chat luong lo,MASTER'S THESES,Nguyễn Thị Cẩm Linh,1,0,http://digital.lib.ueh.edu.vn/handle/UEH/61003,https://digital.lib.ueh.edu.vn/handle/UEH/61003,co so phap ly cho to chuc va hoat dong cua doanh nghiep kinh doanh dich vu logistics trong boi canh hoi nhap quoc te nen kinh te viet nam dang hoa minh vao su tang truong chung cua nen kinh te toan cau viet nam la mot quoc gia dung dau trong cac thi truong logistics moi noi va xep hang cao nhat trong so cac nuoc thu nhap trung binh thap su phat trien cua nganh logistics se co tac dung tang kha nang canh tranh cua nen kinh te quoc dan hien tai he thong phap luat cho quan tri logistics tai viet nam chua hoan thien cac doanh nghiep logistics khong biet tan dung tiem nang phat trien de nang cao chat luong lo master s theses
UEH/61004,2020,Nâng cao sự hài lòng của khách hàng đối với chất lượng dịch vụ ngân hàng bán lẻ tại Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Vĩnh Long,nang cao su hai long cua khach hang doi voi chat luong dich vu ngan hang ban le tai ngan hang tmcp dau tu va phat trien viet nam chi nhanh vinh long,"Những năm gần đây, các ngân hàng ở Việt Nam đang tập trung đẩy mạnh để phát triển dịch vụ ngân hàng bán lẻ nhằm đa dạng hoá sản phẩm và đem lại nguồn thu ổn định cho các ngân hàng, góp phần giảm thiểu các rủi ro. Mục tiêu nghiên cứu của luận văn là nghiên cứu các yếu tố tác động đến sự hài lòng của khách hàng đối với chất lượng dịch vụ của ngân hàng bán lẻ từ đó đề xuất các giải pháp nhằm nâng cao chất lượng dịch vụ ngân hàng bán lẻ của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Vĩ",nhung nam gan day cac ngan hang o viet nam dang tap trung day manh de phat trien dich vu ngan hang ban le nham da dang hoa san pham va dem lai nguon thu on dinh cho cac ngan hang gop phan giam thieu cac rui ro muc tieu nghien cuu cua luan van la nghien cuu cac yeu to tac dong den su hai long cua khach hang doi voi chat luong dich vu cua ngan hang ban le tu do de xuat cac giai phap nham nang cao chat luong dich vu ngan hang ban le cua ngan hang tmcp dau tu va phat trien viet nam chi nhanh vi,MASTER'S THESES,Nguyễn Huỳnh Thảo Nguyên,1,0,http://digital.lib.ueh.edu.vn/handle/UEH/61004,https://digital.lib.ueh.edu.vn/handle/UEH/61004,nang cao su hai long cua khach hang doi voi chat luong dich vu ngan hang ban le tai ngan hang tmcp dau tu va phat trien viet nam chi nhanh vinh long nhung nam gan day cac ngan hang o viet nam dang tap trung day manh de phat trien dich vu ngan hang ban le nham da dang hoa san pham va dem lai nguon thu on dinh cho cac ngan hang gop phan giam thieu cac rui ro muc tieu nghien cuu cua luan van la nghien cuu cac yeu to tac dong den su hai long cua khach hang doi voi chat luong dich vu cua ngan hang ban le tu do de xuat cac giai phap nham nang cao chat luong dich vu ngan hang ban le cua ngan hang tmcp dau tu va phat trien viet nam chi nhanh vi master s theses
UEH/61005,2020,Các yếu tố tác động đến kết quả xuất khẩu sang Myanmar của doanh nghiệp nhỏ và vừa Việt Nam,cac yeu to tac dong den ket qua xuat khau sang myanmar cua doanh nghiep nho va vua viet nam,"Nghiên cứu được thực hiện nhằm xác định các yếu tố tác động đến kết quả xuất khẩu sang Myanmar của các doanh nghiệp nhỏ và vừa Việt Nam. Trên cơ sở lý thuyết về kết quả xuất khẩu cũng như các nghiên cứu về đặc điểm thị trường Myanmar, tác giả sử dụng phương pháp định tính kết hợp định lượng. Nghiên cứu định tính được thực hiện thông qua tham khảo ý kiến của 5 chuyên gia là quản lý các doanh nghiệp nhỏ và vừa của Việt Nam, dựa vào đó để xây dựng và chỉnh sửa bảng câu hỏi phục vụ nghiên cứu định l",nghien cuu duoc thuc hien nham xac dinh cac yeu to tac dong den ket qua xuat khau sang myanmar cua cac doanh nghiep nho va vua viet nam tren co so ly thuyet ve ket qua xuat khau cung nhu cac nghien cuu ve dac diem thi truong myanmar tac gia su dung phuong phap dinh tinh ket hop dinh luong nghien cuu dinh tinh duoc thuc hien thong qua tham khao y kien cua 5 chuyen gia la quan ly cac doanh nghiep nho va vua cua viet nam dua vao do de xay dung va chinh sua bang cau hoi phuc vu nghien cuu dinh l,MASTER'S THESES,Nguyễn Thị Vân Anh,1,0,http://digital.lib.ueh.edu.vn/handle/UEH/61005,https://digital.lib.ueh.edu.vn/handle/UEH/61005,cac yeu to tac dong den ket qua xuat khau sang myanmar cua doanh nghiep nho va vua viet nam nghien cuu duoc thuc hien nham xac dinh cac yeu to tac dong den ket qua xuat khau sang myanmar cua cac doanh nghiep nho va vua viet nam tren co so ly thuyet ve ket qua xuat khau cung nhu cac nghien cuu ve dac diem thi truong myanmar tac gia su dung phuong phap dinh tinh ket hop dinh luong nghien cuu dinh tinh duoc thuc hien thong qua tham khao y kien cua 5 chuyen gia la quan ly cac doanh nghiep nho va vua cua viet nam dua vao do de xay dung va chinh sua bang cau hoi phuc vu nghien cuu dinh l master s theses
UEH/61007,2020,Ảnh hưởng của nợ vay từ ngân hàng và hiệu quả hoạt động của các công ty niêm yết tại Việt Nam,anh huong cua no vay tu ngan hang va hieu qua hoat dong cua cac cong ty niem yet tai viet nam,"Nghiên cứu sử dụng bảng dữ liệu không cân bằng từ 329 doanh nghiệp niêm yết phi tài chính trong giai đoạn 2010–2019 để phân tích ảnh hưởng của nợ vay từ ngân hàng đến hiệu quả hoạt động của các doanh nghiệp tại Việt Nam. Kết quả thực nghiệm chỉ ra rằng, mức nợ vay ngân hàng sử dụng trong cấu trúc vốn của các doanh nghiệp càng cao thì càng gia tăng khả năng sinh lời cho các doanh nghiệp. Tuy nhiên, nợ vay từ ngân hàng lại có tương quan âm với giá trị thị trường của các doanh nghiệp Việt Nam do th",nghien cuu su dung bang du lieu khong can bang tu 329 doanh nghiep niem yet phi tai chinh trong giai doan 2010 2019 de phan tich anh huong cua no vay tu ngan hang den hieu qua hoat dong cua cac doanh nghiep tai viet nam ket qua thuc nghiem chi ra rang muc no vay ngan hang su dung trong cau truc von cua cac doanh nghiep cang cao thi cang gia tang kha nang sinh loi cho cac doanh nghiep tuy nhien no vay tu ngan hang lai co tuong quan am voi gia tri thi truong cua cac doanh nghiep viet nam do th,MASTER'S THESES,Phạm Thị Thúy Vi,1,0,http://digital.lib.ueh.edu.vn/handle/UEH/61007,https://digital.lib.ueh.edu.vn/handle/UEH/61007,anh huong cua no vay tu ngan hang va hieu qua hoat dong cua cac cong ty niem yet tai viet nam nghien cuu su dung bang du lieu khong can bang tu 329 doanh nghiep niem yet phi tai chinh trong giai doan 2010 2019 de phan tich anh huong cua no vay tu ngan hang den hieu qua hoat dong cua cac doanh nghiep tai viet nam ket qua thuc nghiem chi ra rang muc no vay ngan hang su dung trong cau truc von cua cac doanh nghiep cang cao thi cang gia tang kha nang sinh loi cho cac doanh nghiep tuy nhien no vay tu ngan hang lai co tuong quan am voi gia tri thi truong cua cac doanh nghiep viet nam do th master s theses
UEH/61008,2020,Ảnh hưởng của môi trường vĩ mô lên truyền dẫn tỷ giá ở Việt Nam,anh huong cua moi truong vi mo len truyen dan ty gia o viet nam,"Luận án này được thực hiện nhằm đánh giá ảnh hưởng của các yếu tố thuộc môi trường vĩ mô lên mức độ truyền dẫn tỷ giá hối đoái vào lạm phát ở Việt Nam giai đoạn từ tháng 1/2000 đến tháng 12/2018. Mô hình hồi quy chuyển tiếp trơn được sử dụng trong luận án để ước tính mối quan hệ truyền dẫn phi tuyến của tỷ giá vào lạm phát có tính tới từng bối cảnh cụ thể của nền kinh tế như: môi trường lạm phát, mức độ biến động tỷ giá, độ bất ổn trong tỷ giá, chu kỳ kinh tế và độ mở thương mại của nền kinh tế",luan an nay duoc thuc hien nham danh gia anh huong cua cac yeu to thuoc moi truong vi mo len muc do truyen dan ty gia hoi doai vao lam phat o viet nam giai doan tu thang 1 2000 den thang 12 2018 mo hinh hoi quy chuyen tiep tron duoc su dung trong luan an de uoc tinh moi quan he truyen dan phi tuyen cua ty gia vao lam phat co tinh toi tung boi canh cu the cua nen kinh te nhu moi truong lam phat muc do bien dong ty gia do bat on trong ty gia chu ky kinh te va do mo thuong mai cua nen kinh te,DISSERTATIONS,Quách Doanh Nghiệp,1,0,http://digital.lib.ueh.edu.vn/handle/UEH/61008,https://digital.lib.ueh.edu.vn/handle/UEH/61008,anh huong cua moi truong vi mo len truyen dan ty gia o viet nam luan an nay duoc thuc hien nham danh gia anh huong cua cac yeu to thuoc moi truong vi mo len muc do truyen dan ty gia hoi doai vao lam phat o viet nam giai doan tu thang 1 2000 den thang 12 2018 mo hinh hoi quy chuyen tiep tron duoc su dung trong luan an de uoc tinh moi quan he truyen dan phi tuyen cua ty gia vao lam phat co tinh toi tung boi canh cu the cua nen kinh te nhu moi truong lam phat muc do bien dong ty gia do bat on trong ty gia chu ky kinh te va do mo thuong mai cua nen kinh te dissertations
UEH/61010,2021,Các nhân tố ảnh hưởng đến lợi ích kế toán trong giai đoạn sau triển khai hệ thống hoạch định nguồn lực doanh nghiệp (ERP) tại các doanh nghiệp Việt Nam,cac nhan to anh huong den loi ich ke toan trong giai doan sau trien khai he thong hoach dinh nguon luc doanh nghiep erp tai cac doanh nghiep viet nam,"Trong nhiều năm qua, có rất nhiều sự quan tâm về ERP ở cả nghiên cứu và thực hành tại nước ta. Mặc dù hệ thống ERP đã được áp dụng rộng rãi, nhưng các doanh nghiệp vẫn không nhận được lợi ích mong đợi từ ERP. Luận án này tập trung vào khoảng thời gian hậu triển khai hệ thống ERP bởi vì trong nhiều trường hợp các doanh nghiệp đã dùng ERP một thời gian, và thành công trong khoảng thời gian ban đầu (việc triển khai thành công) không đảm bảo lợi ích của giai đoạn hậu triển khai. Phương pháp nghiên c",trong nhieu nam qua co rat nhieu su quan tam ve erp o ca nghien cuu va thuc hanh tai nuoc ta mac du he thong erp da duoc ap dung rong rai nhung cac doanh nghiep van khong nhan duoc loi ich mong doi tu erp luan an nay tap trung vao khoang thoi gian hau trien khai he thong erp boi vi trong nhieu truong hop cac doanh nghiep da dung erp mot thoi gian va thanh cong trong khoang thoi gian ban dau viec trien khai thanh cong khong dam bao loi ich cua giai doan hau trien khai phuong phap nghien c,DISSERTATIONS,Đào Nhật Minh,1,0,http://digital.lib.ueh.edu.vn/handle/UEH/61010,https://digital.lib.ueh.edu.vn/handle/UEH/61010,cac nhan to anh huong den loi ich ke toan trong giai doan sau trien khai he thong hoach dinh nguon luc doanh nghiep erp tai cac doanh nghiep viet nam trong nhieu nam qua co rat nhieu su quan tam ve erp o ca nghien cuu va thuc hanh tai nuoc ta mac du he thong erp da duoc ap dung rong rai nhung cac doanh nghiep van khong nhan duoc loi ich mong doi tu erp luan an nay tap trung vao khoang thoi gian hau trien khai he thong erp boi vi trong nhieu truong hop cac doanh nghiep da dung erp mot thoi gian va thanh cong trong khoang thoi gian ban dau viec trien khai thanh cong khong dam bao loi ich cua giai doan hau trien khai phuong phap nghien c dissertations
UEH/61011,2020,A development of enterprise resource planning success model for accounting professionals,a development of enterprise resource planning success model for accounting professionals,"Enterprise Resource Planning (ERP) system is commercial software that automates and integrates many or most of a firm’s business processes. It allows to access to integrated data cross the entire enterprise according to real-time. Therefore, ERP system is expected to increase productivity via processes standardization, to improve decision-making ability via information integration throughout the whole enterprise, to enhance cooperation between organizational entities by connecting them smoothly,",enterprise resource planning erp system is commercial software that automates and integrates many or most of a firm s business processes it allows to access to integrated data cross the entire enterprise according to real time therefore erp system is expected to increase productivity via processes standardization to improve decision making ability via information integration throughout the whole enterprise to enhance cooperation between organizational entities by connecting them smoothly,DISSERTATIONS,Phan Thi Bao Quyen,1,0,http://digital.lib.ueh.edu.vn/handle/UEH/61011,https://digital.lib.ueh.edu.vn/handle/UEH/61011,a development of enterprise resource planning success model for accounting professionals enterprise resource planning erp system is commercial software that automates and integrates many or most of a firm s business processes it allows to access to integrated data cross the entire enterprise according to real time therefore erp system is expected to increase productivity via processes standardization to improve decision making ability via information integration throughout the whole enterprise to enhance cooperation between organizational entities by connecting them smoothly dissertations
UEH/61012,2020,"The organizational diagnosis model: the case of local government organizations in Ho Chi Minh City, VietNam",the organizational diagnosis model the case of local government organizations in ho chi minh city vietnam,"Organizational Diagnosis Model (ODM) is a rather new approach in developing countries, especially in the public sector and local government organizations (LGOs) such as Vietnam. Through the literature review, the author recognized that almost ODMs researches suggesting in business enterprises, there is rare or less ODM researches mentioning in the case of public sector and LGOs. Thereby, the author try best effort in order to solve this issue. By using qualitative and quantitative research metho",organizational diagnosis model odm is a rather new approach in developing countries especially in the public sector and local government organizations lgos such as vietnam through the literature review the author recognized that almost odms researches suggesting in business enterprises there is rare or less odm researches mentioning in the case of public sector and lgos thereby the author try best effort in order to solve this issue by using qualitative and quantitative research metho,DISSERTATIONS,Lê Thị Loan,1,0,http://digital.lib.ueh.edu.vn/handle/UEH/61012,https://digital.lib.ueh.edu.vn/handle/UEH/61012,the organizational diagnosis model the case of local government organizations in ho chi minh city vietnam organizational diagnosis model odm is a rather new approach in developing countries especially in the public sector and local government organizations lgos such as vietnam through the literature review the author recognized that almost odms researches suggesting in business enterprises there is rare or less odm researches mentioning in the case of public sector and lgos thereby the author try best effort in order to solve this issue by using qualitative and quantitative research metho dissertations
