student_token,major,major_norm,cohort,course_order,course,course_norm,resource_type,resource_id,resource_title,resource_url,search_keywords,match_reason,match_score,confidence,rating_average,review_count,quantity_sold,price,confidence_score,rating_score,review_score,sales_score,search_signal_score,quality_score,popularity_score,recommendation_score,model_explanation,duplicate_rank,course_rank,student_rank
stu_000c7c111a0a0389,Công nghệ thông tin,cong nghe thong tin,24,5,Trí tuệ nhân tạo,tri tue nhan tao,ueh_repository,UEH/62540,Ứng dụng công nghệ trí tuệ nhân tạo trong dịch vụ tài chính tại thị trường tài chính Việt Nam,https://digital.lib.ueh.edu.vn/handle/UEH/62540,,exact_course_in_title; exact_course_in_secondary_text,81.37,high,,,,,100.0,80.0,50.0,50.0,50.0,80.0,50.0,84.32,UEH Repository: content match + confidence + publication year + views,1,1,1
stu_000c7c111a0a0389,Công nghệ thông tin,cong nghe thong tin,24,1,Lập trình hướng đối tượng,lap trinh huong doi tuong,tiki_book,273585809,Công Nghệ Thông Tin- Giáo Trình C++ Và Lập Trình Hướng Đối Tượng,https://tiki.vn/sach-cong-nghe-thong-tin-giao-trinh-c-va-lap-trinh-huong-doi-tuong-p273585809.html?spid=277460817,công nghệ thông tin; sách công nghệ thông tin,exact_course_in_title; exact_major_in_title,93.35,high,0.0,0.0,,165733.0,100.0,50.0,50.0,50.0,100.0,50.0,50.0,82.01,Tiki: content match + confidence + rating + review_count + quantity_sold + search keywords,1,1,2
stu_000c7c111a0a0389,Công nghệ thông tin,cong nghe thong tin,24,5,Trí tuệ nhân tạo,tri tue nhan tao,tiki_book,279233260,Hiểu Về Trí Tuệ Nhân Tạo - AI,https://tiki.vn/sach-hieu-ve-tri-tue-nhan-tao-ai-p279233260.html?spid=279233261,trí tuệ nhân tạo,exact_course_in_title; exact_course_in_secondary_text,100.0,high,0.0,0.0,4.0,123200.0,100.0,50.0,50.0,17.703817036775103,100.0,50.0,29.01,81.85,Tiki: content match + confidence + rating + review_count + quantity_sold + search keywords,1,2,3
stu_000c7c111a0a0389,Công nghệ thông tin,cong nghe thong tin,24,6,Điện toán đám mây,dien toan dam may,tiki_book,5929511,Cố Định Một Đám Mây,https://tiki.vn/sach-co-dinh-mot-dam-may-p5929511.html?spid=5929513,điện toán đám mây,partial_course_tokens_in_title; exact_course_in_secondary_text,41.99,medium,4.6,37.0,2044.0,102500.0,60.0,92.0,80.02689551398049,83.85468375324592,80.0,88.41,82.51,60.53,Tiki: content match + confidence + rating + review_count + quantity_sold + search keywords,1,1,4
stu_000c7c111a0a0389,Công nghệ thông tin,cong nghe thong tin,24,2,Cơ sở dữ liệu,co so du lieu,ueh_repository,UEH/62516,Ứng dụng Big Data và ai trong xây dựng và khai thác cơ sở dữ liệu quốc gia về giá bất động sản tại Việt Nam,https://digital.lib.ueh.edu.vn/handle/UEH/62516,,exact_course_in_title; exact_course_in_secondary_text,55.89,medium,,,,,60.0,80.0,50.0,50.0,50.0,80.0,50.0,59.03,UEH Repository: content match + confidence + publication year + views,1,1,5
stu_0015bc6641cd2650,Kế toán công,ke toan cong,23,4,Kế toán thuế,ke toan thue,tiki_book,209601948,Thuế Và Kế Toán Thuế 2022 - Áp Dụng Cho Các Doanh nghiệp Việt Nam,https://tiki.vn/thue-va-ke-toan-thue-2022-ap-dung-cho-cac-doanh-nghiep-viet-nam-p209601948.html?spid=209601949,kế toán; thuế,exact_course_in_title; exact_course_in_secondary_text,100.0,high,5.0,1.0,17.0,389000.0,100.0,100.0,15.249237972318797,31.79408933685781,100.0,74.57,26.0,85.09,Tiki: content match + confidence + rating + review_count + quantity_sold + search keywords,1,1,1
stu_0015bc6641cd2650,Kế toán công,ke toan cong,23,6,Kiểm toán nhà nước,kiem toan nha nuoc,ueh_repository,UEH/61237,Giải pháp hoàn thiện hoạt động kiểm toán ngân sách địa phương tại Kiểm toán Nhà nước khu vực Đông Nam Bộ,https://digital.lib.ueh.edu.vn/handle/UEH/61237,,exact_course_in_title; exact_course_in_secondary_text,79.95,high,,,,,100.0,80.0,50.0,50.0,50.0,80.0,50.0,83.47,UEH Repository: content match + confidence + publication year + views,1,1,2
stu_0015bc6641cd2650,Kế toán công,ke toan cong,23,3,Luật ngân sách nhà nước,luat ngan sach nha nuoc,ueh_repository,UEH/62678,Cân đối ngân sách nhà nước trong điều kiện áp dụng Luật Ngân sách Nhà nước năm 2015 – Trường hợp Thành phố Hồ Chí Minh,https://digital.lib.ueh.edu.vn/handle/UEH/62678,,exact_course_in_title; partial_course_tokens_in_secondary_text,74.33,high,,,,,100.0,80.0,50.0,50.0,50.0,80.0,50.0,80.1,UEH Repository: content match + confidence + publication year + views,1,1,3
stu_0015bc6641cd2650,Kế toán công,ke toan cong,23,6,Kiểm toán nhà nước,kiem toan nha nuoc,tiki_book,278809094,"Luật Kiểm Toán Nhà Nước - Pháp Lệnh Xử Phạt Vi Phạm Hành Chính Trong Lĩnh Vực Kiểm Toán, Lập Thẩm Định Và Ban Hành Kế Hoạch Kiểm Toán",https://tiki.vn/luat-kiem-toan-nha-nuoc-phap-lenh-xu-phat-vi-pham-hanh-chinh-trong-linh-vuc-kiem-toan-lap-tham-dinh-va-ban-hanh-ke-hoach-kiem-toan-p278809094.html?spid=278809095,sách kiểm toán; kiểm toán nội bộ,exact_course_in_title; partial_course_tokens_in_secondary_text,75.08,high,0.0,0.0,,275000.0,100.0,50.0,50.0,50.0,100.0,50.0,50.0,73.79,Tiki: content match + confidence + rating + review_count + quantity_sold + search keywords,1,2,4
stu_0015bc6641cd2650,Kế toán công,ke toan cong,23,1,Kế toán đơn vị hành chính sự nghiệp,ke toan don vi hanh chinh su nghiep,ueh_repository,UEH/62647,Các nhân tố ảnh hưởng đến việc áp dụng thẻ điểm khu vực công (PSS) – Nghiên cứu trong các đơn vị hành chính sự nghiệp tại Thành phố Hồ Chí Minh,https://digital.lib.ueh.edu.vn/handle/UEH/62647,,strong_course_tokens_in_title; strong_course_tokens_in_secondary_text,62.41,high,,,,,100.0,80.0,50.0,50.0,50.0,80.0,50.0,72.95,UEH Repository: content match + confidence + publication year + views,1,1,5
stu_004191135ece3f93,Toán tài chính,toan tai chinh,25,1,Toán tài chính ứng dụng,toan tai chinh ung dung,tiki_book,190743209,Toán tài chính ứng dụng,https://tiki.vn/toan-tai-chinh-ung-dung-p190743209.html?spid=190743210,chính sách tài khóa; tài chính; sách tài chính; phân tích tài chính; kế toán tài chính,exact_course_in_title; partial_course_tokens_in_secondary_text; exact_major_in_title,93.38,high,5.0,9.0,59.0,266000.0,100.0,100.0,50.65687204586901,45.037790184443104,100.0,85.2,47.0,86.85,Tiki: content match + confidence + rating + review_count + quantity_sold + search keywords,1,1,1
