resource_type,resource_id,resource_title,recommended_times,avg_recommendation_score,avg_match_score,avg_quality_component,avg_popularity_component
ueh_repository,UEH/62540,Ứng dụng công nghệ trí tuệ nhân tạo trong dịch vụ tài chính tại thị trường tài chính Việt Nam,251,74.77,69.57,80.0,50.0
tiki_book,279233260,Hiểu Về Trí Tuệ Nhân Tạo - AI,183,72.28,85.89,50.0,17.7
ueh_repository,UEH/63972,Bảo vệ sức khỏe và phát triển thương mại quốc tế qua các tranh luận pháp lý về tính cần thiết và căn cứ khoa học trong biện pháp vệ sinh dịch tễ,176,77.57,74.47,80.0,50.0
ueh_repository,UEH/63272,Giải pháp hoàn thiện hoạt động chuỗi cung ứng tại Công ty TNHH Thương mại và Dịch vụ Lâm Thanh,172,42.72,33.28,80.0,50.0
tiki_book,94851869,"Nghiệp Vụ Dành Cho Kế Toán Kiểm Toán Nội Bộ Chuẩn Mực, Nguyên Tắc Đạo Đức Nghề Nghiệp Và Quy Chế Kiểm Toán Nội Bộ Trong Các Cơ Quan Nhà Nước, Đơn Vị Sự Nghiệp Công Lập Và Doanh Nghiệp",156,68.16,68.3,100.0,32.39
tiki_book,273744608,Quản lý chuỗi cung ứng thực phẩm và logistics,129,69.62,59.73,100.0,58.34
tiki_book,77339644,Phân tích kỹ thuật trong thị trường tài chính,127,96.42,100.0,96.0,67.56
tiki_book,531592,Thị Trường Tài Chính,126,86.0,93.43,92.0,47.04
ueh_repository,UEH/62432,Chuyển đổi báo cáo tài chính từ chuẩn mực kế toán Việt Nam sang chuẩn mực báo cáo tài chính quốc tế - Nghiên cứu tại Công ty Cổ phần Khu công Nnghiệp Nam Tân Uyên,125,82.38,78.13,80.0,50.0
tiki_book,276237667,Tích Hợp Hệ Thống Tự Động Điều Khiển Quá Trình Công Nghệ Sinh Học Và Công Nghệ Thực Phẩm,125,76.43,87.68,100.0,7.62
ueh_repository,UEH/62516,Ứng dụng Big Data và ai trong xây dựng và khai thác cơ sở dữ liệu quốc gia về giá bất động sản tại Việt Nam,119,57.44,53.24,80.0,50.0
tiki_book,277392524,- Quản Lý Dự Án Xây Dựng - Lập Và Thẩm Định Dự Án - TS. Bùi Ngọc Toàn - NXB Xây Dựng,118,84.17,98.15,50.0,50.0
ueh_repository,UEH/62960,Nâng cao quản trị rủi ro các dự án đầu tư tại Ban quản lý dự án hạ tầng II – Tổng công ty Hạ tầng mạng (VNPT NET),117,49.39,39.83,80.0,50.0
tiki_book,274890405,"- Nhận Diện Nghệ Thuật Đồ Họa - Để nghiên cứu , sáng tác và giảng dạy Thiết Kế Đồ Họa ( Tặng kèm sổ tay xương rồng )",114,43.97,43.36,50.0,17.7
tiki_book,1208799,Nguyên Lý Quản Trị Chuỗi Cung Ứng,113,73.67,58.2,96.0,85.78
ueh_repository,UEH/61149,Áp dụng mô hình tam giác gian lận trong vấn đề đạo đức nghề nghiệp của kiểm toán viên Nhà nước,113,67.75,62.45,80.0,50.0
tiki_book,243732948,"Giáo trình Tín dụng và thanh toán thương mại quốc tế (Tái bản lần thứ tư, có sửa chữa bổ sung)",113,65.61,63.72,100.0,39.11
tiki_book,63822864,Phân tích kinh tế - kỹ thuật các dự án đầu tư xây dựng,113,53.21,44.83,96.0,41.11
ueh_repository,UEH/63686,Quản trị rủi ro tín dụng theo Basel II tại Ngân hàng TMCP Phương Đông,112,59.66,49.65,80.0,50.0
tiki_book,42531744,Combo Sách : Learn Branding - Xây Dựng Thương Hiệu Tinh Gọn + Quản Trị Thương Hiệu Trực Tuyến,101,73.53,74.5,50.0,50.0
ueh_repository,UEH/61412,Nghiên cứu hành vi mua sắm trực tuyến của người tiêu dùng tại TP. Hồ Chí Minh ngành hàng thời trang,100,59.25,56.26,80.0,50.0
tiki_book,76013378,Storytelling With Data - Kể Chuyện Thông Qua Dữ Liệu (Cuốn Cẩm Nang Hướng Dẫn Trực Quan Hóa Dữ Liệu),98,89.43,76.51,100.0,100.0
ueh_repository,UEH/61472,Hoàn thiện công tác kiểm toán nội bộ trong các Ngân hàng Thương mại Việt Nam,97,85.69,83.64,80.0,50.0
ueh_repository,UEH/63977,Nghiên cứu các nhân tố ảnh hưởng đến sự phục hồi chuỗi cung ứng nông sản trong và sau đại dịch Covid- 19 tại các tỉnh Đồng bằng sông Cửu Long,68,95.5,100.0,80.0,50.0
tiki_book,190743209,Toán tài chính ứng dụng,68,86.85,93.38,100.0,45.04
ueh_repository,UEH/62544,Ảnh hưởng của các yếu tố tài chính hành vi suy nghiệm đến hiệu suất đầu tư của nhà đầu tư cá nhân trên thị trường chứng khoán Việt Nam,68,84.74,82.06,80.0,50.0
tiki_book,270847837,Xác Suất Thống Kê (Dùng cho sinh viên các trường Kỹ Thuật và Công Nghệ),68,82.5,94.0,100.0,39.42
tiki_book,279336919,- Kỹ Thuật Phân Tích Đầu Tư Chứng Khoán (Tái Bản 2026),68,80.82,90.7,50.0,50.0
tiki_book,196280121,HBR Onpoint 2021: Quản Lý Rủi Ro (Tái Bản 2022),68,52.17,39.01,96.0,49.86
ueh_repository,UEH/63322,Quản lý rủi ro tỷ giá trong hoạt kinh doanh ngoại hối tại Ngân hàng Thương mại Cổ phần Ngoại Thương Việt Nam,68,51.65,43.59,80.0,50.0
ueh_repository,UEH/63535,Phân tích các nhân tố tác động đến hiệu quả chuỗi cung ứng – Nghiên cứu mô hình tại Công ty Cổ phần Acecook Việt Nam,68,45.77,33.79,80.0,50.0
ueh_repository,UEH/62812,"Đánh giá các yếu tố ảnh hưởng đến hiệu quả hoạt động của hợp tác xã nông nghiệp trên địa bàn huyện Phú Tân, tỉnh An Giang",68,44.73,32.05,80.0,50.0
ueh_repository,UEH/62978,"Mối quan hệ giữa hỗ trợ xuất khẩu của chính phủ, nhận thức động cơ xuất khẩu, nhận thức rào cản xuất khẩu và kết quả hoạt động xuất khẩu nông sản của các doanh nghiệp nhỏ và vừa tại Việt Nam sang thị trường Asean+3",68,43.91,30.69,80.0,50.0
ueh_repository,UEH/62737,Hạn chế rủi ro tín dụng cho vay tiêu dùng tại Ngân hàng Nông nghiệp và phát triển Nông thôn Việt Nam – chi nhánh Thành phố Sóc Trăng,68,43.14,29.4,80.0,50.0
tiki_book,276353637,- Giáo Trình Đàm Phán Quốc Tế (Tái Bản lần Thứ Nhất),67,81.8,92.88,50.0,50.0
tiki_book,197857892,Tài Chính Quốc Tế,67,76.14,84.53,50.0,30.5
ueh_repository,UEH/63482,Giải pháp hoàn thiện hoạt động quản lý kho hàng tại công ty TNHH Olam Việt Nam,66,95.5,100.0,80.0,50.0
ueh_repository,UEH/61534,"Nghiên cứu các yếu tố ảnh hưởng đến sự hài lòng của người dân đối với dịch vụ hành chính công tại Uỷ ban nhân dân phường Tân Quy, Quận 7, Thành phố Hồ Chí Minh",66,92.37,94.79,80.0,50.0
tiki_book,168780451,"Thị Trường, Nhà Nước Và Người Dân: Kinh Tế Học Về Chính Sách Công",66,85.44,100.0,100.0,35.41
ueh_repository,UEH/62794,Thực hiện tiết kiệm chi kinh phí quản lý hành chính tại Sở Tài chính tỉnh Bà Rịa - Vũng Tàu,66,79.7,73.66,80.0,50.0
ueh_repository,UEH/62783,Mối quan hệ giữa các tác nhân trong logistics ngược và kết quả kinh tế: Nghiên cứu trường hợp doanh nghiệp bán lẻ hàng điện tử tại Thành phố Đà Nẵng,66,77.04,69.23,80.0,50.0
