student_token,resource_id,resource_type,resource_title,resource_url,major,related_courses,interaction_source,user_id,item_id,rating
stu_000c7c111a0a0389,REPO_UEH_63077,ueh_repository,Các nhân tố ảnh hưởng đến sự hài lòng của đối tượng cung cấp thông tin về điều tra thống kê tại Cục Thống kê tỉnh Long An,https://digital.lib.ueh.edu.vn/handle/UEH/63077,Công nghệ thông tin,Lập trình hướng đối tượng,proxy_from_repo_match_year_views,0,170,1.7697
stu_000c7c111a0a0389,TIKI_271319520,tiki_book,Giáo trình kỹ nghệ phần mềm,https://tiki.vn/giao-trinh-ky-nghe-phan-mem-p271319520.html?spid=271319521,Công nghệ thông tin,Phát triển phần mềm,proxy_from_tiki_match_rating_review_sales,0,173,3.1141138
stu_0015bc6641cd2650,REPO_UEH_62647,ueh_repository,Các nhân tố ảnh hưởng đến việc áp dụng thẻ điểm khu vực công (PSS) – Nghiên cứu trong các đơn vị hành chính sự nghiệp tại Thành phố Hồ Chí Minh,https://digital.lib.ueh.edu.vn/handle/UEH/62647,Kế toán công,Kế toán đơn vị hành chính sự nghiệp,proxy_from_repo_match_year_views,1,211,6.75665
stu_0015bc6641cd2650,TIKI_279292266,tiki_book,"Hướng Dẫn Chế Độ Kế Toán Hành Chính, Sự Nghiệp Và Lập Báo Cáo Tài Chính Hợp Nhất Của Đơn Vị Kế Toán Cấp Trên (V2683T)",https://tiki.vn/sach-huong-dan-che-do-ke-toan-hanh-chinh-su-nghiep-va-lap-bao-cao-tai-chinh-hop-nhat-cua-don-vi-ke-toan-cap-tren-v2683t-p279292266.html?spid=279292267,Kế toán công,Kế toán đơn vị hành chính sự nghiệp,proxy_from_tiki_match_rating_review_sales,1,24,3.55035
stu_004191135ece3f93,REPO_UEH_62673,ueh_repository,"Doanh thu, chi phí và kết quả kinh doanh tại Công ty Cổ phần Sản xuất Kinh doanh Sơn Kim – Theo kế toán tài chính và kế toán quản trị",https://digital.lib.ueh.edu.vn/handle/UEH/62673,Toán tài chính,Phương trình vi phân tài chính; Toán tài chính ứng dụng,proxy_from_repo_match_year_views,922,36,3.37895
stu_004191135ece3f93,TIKI_279379640,tiki_book,Giáo trình kế toán tài chính 2,https://tiki.vn/giao-trinh-ke-toan-tai-chinh-2-p279379640.html?spid=279379641,Toán tài chính,Phương trình vi phân tài chính,proxy_from_tiki_match_rating_review_sales,922,79,1.12345
stu_00425f58ce521820,REPO_UEH_61148,ueh_repository,Thực trạng thực thi pháp luật về quy hoạch đô thị trên địa bàn tỉnh Cà Mau,https://digital.lib.ueh.edu.vn/handle/UEH/61148,Kiến trúc và thiết kế đô thị thông minh,Quy hoạch đô thị,proxy_from_repo_match_year_views,2,180,9.2
stu_00425f58ce521820,TIKI_278453817,tiki_book,"- Luật sửa đổi, bổ sung một số điều của Luật Quy hoạch, Luật Đầu tư, Luật Đầu tư theo phương thức đối tác công tư",https://tiki.vn/sach-luat-sua-doi-bo-sung-mot-so-dieu-cua-luat-quy-hoach-luat-dau-tu-luat-dau-tu-theo-phuong-thuc-doi-tac-cong-tu-p278453817.html?spid=278453818,Kiến trúc và thiết kế đô thị thông minh,Quy hoạch đô thị,proxy_from_tiki_match_rating_review_sales,2,199,1.4825165
stu_006661cad9063305,REPO_UEH_63276,ueh_repository,Các nhân tố ảnh hưởng đến sự thỏa mãn của nhân viên kế toán trong việc sử dụng hệ thống hoạch định nguồn lực doanh nghiệp (ERP) ở các doanh nghiệp tại TP. Hồ Chí Minh,https://digital.lib.ueh.edu.vn/handle/UEH/63276,Hệ thống hoạch định nguồn lực doanh nghiệp,Hệ thống ERP,proxy_from_repo_match_year_views,3,134,9.03555
stu_006661cad9063305,TIKI_254139138,tiki_book,"Giáo Trình Kinh Tế Thương Mại - Dịch Vụ Dành Cho Nghành Kinh Tế, Logistics Và Quản Trị Kinh Doanh",https://tiki.vn/giao-trinh-kinh-te-thuong-mai-dich-vu-danh-cho-nghanh-kinh-te-logistics-va-quan-tri-kinh-doanh-p254139138.html?spid=254139139,Hệ thống hoạch định nguồn lực doanh nghiệp,Quản trị quy trình kinh doanh,proxy_from_tiki_match_rating_review_sales,3,138,1.2967
stu_006661cad9063305,TIKI_277392524,tiki_book,- Quản Lý Dự Án Xây Dựng - Lập Và Thẩm Định Dự Án - TS. Bùi Ngọc Toàn - NXB Xây Dựng,https://tiki.vn/sach-quan-ly-du-an-xay-dung-lap-va-tham-dinh-du-an-ts-bui-ngoc-toan-nxb-xay-dung-p277392524.html?spid=279333156,Hệ thống hoạch định nguồn lực doanh nghiệp,Quản lý dự án CNTT,proxy_from_tiki_match_rating_review_sales,3,7,3.0251
stu_006661cad9063305,TIKI_278632652,tiki_book,Hệ Thống Thông Tin Trong Y Tế,https://tiki.vn/sach-he-thong-thong-tin-trong-y-te-p278632652.html?spid=278632655,Hệ thống hoạch định nguồn lực doanh nghiệp,Phân tích hệ thống thông tin,proxy_from_tiki_match_rating_review_sales,3,140,1.9359283
stu_006661cad9063305,TIKI_279286687,tiki_book,- Đơn Vị Hành Chính Việt Nam - Sau Sắp Xếp Và Vận Hành Chính Quyền Địa Phương Hai Cấp,https://tiki.vn/sach-don-vi-hanh-chinh-viet-nam-sau-sap-xep-va-van-hanh-chinh-quyen-dia-phuong-hai-cap-p279286687.html?spid=279286688,Hệ thống hoạch định nguồn lực doanh nghiệp,SAP căn bản,proxy_from_tiki_match_rating_review_sales,3,141,3.3148665
stu_0082f6f3f256c8f5,REPO_UEH_62646,ueh_repository,Các nhân tố ảnh hưởng đến tính minh bạch của thông tin trên báo cáo tài chính của các công ty niêm yết có vốn đầu tư nước ngoài trên Sàn Giao dịch Chứng khoán TP. HCM,https://digital.lib.ueh.edu.vn/handle/UEH/62646,Quản lý công,Tài chính công,proxy_from_repo_match_year_views,4,89,4.586
stu_0082f6f3f256c8f5,TIKI_277165601,tiki_book,CFO Quản Trị Tài Chính Công Ty Cổ Phần,https://tiki.vn/cfo-quan-tri-tai-chinh-cong-ty-co-phan-p277165601.html?spid=277165602,Quản lý công,Tài chính công,proxy_from_tiki_match_rating_review_sales,4,98,8.396711
