student_token,user_id,major
stu_000c7c111a0a0389,0,Công nghệ thông tin
stu_0015bc6641cd2650,1,Kế toán công
stu_00425f58ce521820,2,Kiến trúc và thiết kế đô thị thông minh
stu_006661cad9063305,3,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_0082f6f3f256c8f5,4,Quản lý công
stu_009d578c031e4974,5,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_00b9e0b6b2593639,6,Khoa học máy tính
stu_00f0b86637288e57,7,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_0155d6746bdbe341,8,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_0228ea389f375d71,9,Khoa học máy tính
stu_027a60d511f604c1,10,Marketing
stu_027bcbfe5de83f4f,11,Quản trị kinh doanh
stu_028b11ad8cbc6bdf,12,Công nghệ Tài chính
stu_02aa803284772bd9,13,Kinh tế đầu tư
stu_02bd6ce789bd0042,14,Quản lý công
stu_02c562f45b1d6585,15,Kế toán doanh nghiệp
stu_02e5721d62372eff,16,Kiến trúc và thiết kế đô thị thông minh
stu_030af84750294ef7,17,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_031b4075586cc07c,18,Công nghệ nghệ thuật - ArtTech
stu_0371c59c46b7c396,19,Công nghệ thông tin
stu_0407993b24b07b26,20,Marketing
stu_041e0fabdad0b293,21,Kiến trúc và thiết kế đô thị thông minh
stu_045ecdfbf1de14e6,22,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_0496b10309cb7df4,23,Kinh doanh số
stu_04970aac396d0ae0,24,Kiến trúc và thiết kế đô thị thông minh
stu_058d34db56276a68,25,Quản lý công
stu_05da437cf43c2858,26,Kinh tế đầu tư
stu_05de2be78857c2e2,27,Công nghệ nghệ thuật - ArtTech
stu_060ad304a6ae052b,28,Công nghệ Tài chính
stu_067ae3fc94cf085b,29,Kế toán doanh nghiệp
stu_073962a8ae3183d6,30,Thị trường chứng khoán
stu_07e44bda789c1ef3,31,Kinh doanh số
stu_08106e5e4f15a253,32,Kiến trúc và thiết kế đô thị thông minh
stu_082e0e59c7558075,33,Kinh tế đầu tư
stu_0887d747ae2b7de0,34,Công nghệ nghệ thuật - ArtTech
stu_08d9f8afc39c55eb,35,Công nghệ Tài chính
stu_090f6c16a3f97a98,36,Quản trị kinh doanh
stu_097c7a4a06790989,37,Kiến trúc và thiết kế đô thị thông minh
stu_09c38bd8a97bd27f,38,Quản trị kinh doanh
stu_09d753d0f71aa805,39,Công nghệ nghệ thuật - ArtTech
stu_0a4d98cdd02b57b3,40,Công nghệ và đổi mới sáng tạo
stu_0aa4677ff83b3a35,41,Kinh tế đầu tư
stu_0aba2abc30a7acc0,42,Quản lý công
stu_0ad065a36570bf28,43,Kiến trúc và thiết kế đô thị thông minh
stu_0c76b03704d01369,44,Công nghệ nghệ thuật - ArtTech
stu_0ce8c63eca29cafa,45,Kiến trúc và thiết kế đô thị thông minh
stu_0d37322b5f6f26d6,46,Công nghệ nghệ thuật - ArtTech
stu_0d5541bf112d8bec,47,Công nghệ và đổi mới sáng tạo
stu_0dadb1d0f45f07f2,48,Kiến trúc và thiết kế đô thị thông minh
stu_0e34ddaa46c1cb29,49,Công nghệ Tài chính
stu_0e98da3e98b60e67,50,Kiến trúc và thiết kế đô thị thông minh
stu_0ecd09a2860653b5,51,Kiến trúc và thiết kế đô thị thông minh
stu_0ee124865609bac3,52,Công nghệ và đổi mới sáng tạo
stu_0ee744cf79ae0811,53,Công nghệ và đổi mới sáng tạo
stu_0fb43a94973a1d0d,54,Công nghệ nghệ thuật - ArtTech
stu_10e7e69fb062fc5c,55,Công nghệ thông tin
stu_118576782c05f622,56,Khoa học máy tính
stu_11cf5ceeb829c586,57,Công nghệ nghệ thuật - ArtTech
stu_12cd44d256ab1272,58,Công nghệ nghệ thuật - ArtTech
stu_12d7d72b0b434de2,59,Khoa học máy tính
stu_13b985c6e1be517f,60,Công nghệ và đổi mới sáng tạo
stu_13d20113b4de221c,61,Marketing
stu_1429b0960f8cd975,62,Kinh doanh số
stu_14344c660b92a853,63,Kinh tế đầu tư
stu_145c5cb6d0191ce9,64,Kinh doanh thương mại
stu_146adf25af870287,65,Quản trị kinh doanh
stu_14cec1b27ae35d4a,66,Thị trường chứng khoán
stu_14d56d9831527ae6,67,Kinh doanh số
stu_14d7565dd95a4d0c,68,Quản trị kinh doanh
stu_1544cc717c52abcd,69,Kinh tế đầu tư
stu_156454d42c624414,70,Kiến trúc và thiết kế đô thị thông minh
stu_15651e10343d82cc,71,Khoa học máy tính
stu_15781dcafd4dcc5e,72,Kinh tế đầu tư
stu_15af54ee16b2887f,73,Kiến trúc và thiết kế đô thị thông minh
stu_16208ae3b97a6dbe,74,Công nghệ thông tin
stu_16485a0c04d6c325,75,Marketing
stu_169df85fc58c1def,76,Khoa học máy tính
stu_17319b43a1747938,77,Ngân hàng
stu_17728fca62c1e70f,78,Kế toán công
stu_17ac838f50f326fd,79,Kế toán doanh nghiệp
stu_17c113818245636c,80,Kế toán doanh nghiệp
stu_1864890699cad656,81,Kế toán doanh nghiệp
stu_188b4f564f6b0778,82,Kế toán doanh nghiệp
stu_18c648352c2456a8,83,Công nghệ Tài chính
stu_19539ea9df9d9226,84,Công nghệ nghệ thuật - ArtTech
stu_1955323eefdae8dc,85,Công nghệ và đổi mới sáng tạo
stu_1982f424c4d060b5,86,Quản lý công
stu_1989de4e291d51c0,87,Quản lý công
stu_1a0dc36f3df6c810,88,Công nghệ thông tin
stu_1a23f3ab54b4392b,89,Công nghệ Tài chính
stu_1a5e1e5f965179dc,90,Kinh doanh số
stu_1a658067260e2917,91,Kế toán doanh nghiệp
stu_1a74dc2bc251bd68,92,Kinh tế đầu tư
stu_1a90db9c2be4ff5c,93,Công nghệ và đổi mới sáng tạo
stu_1b0d48b79fcfb72b,94,Quản trị kinh doanh
stu_1b7806115868343b,95,Thị trường chứng khoán
stu_1b7acb624a42ade5,96,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_1bcea43a27ed85b1,97,Công nghệ thông tin
stu_1be432057dc25de6,98,Ngân hàng
stu_1c0ed15feb393f63,99,Công nghệ và đổi mới sáng tạo
stu_1d2d2723c159c31c,100,Kiến trúc và thiết kế đô thị thông minh
stu_1d9e73662fd31c24,101,Quản trị kinh doanh
stu_1e2a6fc1454136dc,102,Kinh doanh số
stu_1e691af7fce002ab,103,Công nghệ Tài chính
stu_1e743b95459dcaee,104,Kinh doanh thương mại
stu_1f293fd65a2987b0,105,Ngân hàng
stu_1f5c81ac7d6e6149,106,Kinh tế đầu tư
stu_1fba68c16de54ba8,107,Kiến trúc và thiết kế đô thị thông minh
stu_20206c4b2964aefa,108,Kiến trúc và thiết kế đô thị thông minh
stu_20315623058ea68c,109,Công nghệ nghệ thuật - ArtTech
stu_203c5e4c696e83d3,110,Kế toán doanh nghiệp
stu_207f43432af34758,111,Kinh doanh thương mại
stu_20bdf3b586ad855a,112,Kinh doanh thương mại
stu_20fd8bf593f72bec,113,Kinh tế đầu tư
stu_21f73b046502f2db,114,Kinh doanh số
stu_22cdc2a74f63f0b4,115,Quản trị kinh doanh
stu_22d65a5f2cd7bb5f,116,Thị trường chứng khoán
stu_22e7820f658bc9a6,117,Kiến trúc và thiết kế đô thị thông minh
stu_22fa751311ad792a,118,Công nghệ Tài chính
stu_233b0554af4911a2,119,Công nghệ nghệ thuật - ArtTech
stu_2343b5771e950cab,120,Quản lý công
stu_2347159e3dc2afc5,121,Quản trị kinh doanh
stu_235a25e3735e0478,122,Thị trường chứng khoán
stu_23639d48abc169e5,123,Thị trường chứng khoán
stu_2386230909df6044,124,Công nghệ Tài chính
stu_23d616ca323c2b10,125,Kiến trúc và thiết kế đô thị thông minh
stu_246eb88ed0025b22,126,Kiến trúc và thiết kế đô thị thông minh
stu_247307a8ab438387,127,Kế toán công
stu_24815bd625fbd350,128,Công nghệ nghệ thuật - ArtTech
stu_24e80726aeaca0bd,129,Khoa học máy tính
stu_2510c64d9077b90f,130,Kinh tế đầu tư
stu_259bb9c3a79e5f25,131,Công nghệ thông tin
stu_25e02e3fdabfffb3,132,Quản lý công
stu_263d96e0b8e7c12b,133,Công nghệ thông tin
stu_265e9c8c117c2493,134,Quản lý công
stu_267c3e0439655b3f,135,Công nghệ Tài chính
stu_270042f44bb09bb7,136,Kế toán doanh nghiệp
stu_276f305aa7451517,137,Quản trị kinh doanh
stu_27d76e4b1ec5471c,138,Kế toán công
stu_280b3e178bb60639,139,Quản trị kinh doanh
stu_284856f2a14afe2a,140,Kế toán công
stu_2882241844de4d04,141,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_295fc88c4a9c9cd7,142,Kiến trúc và thiết kế đô thị thông minh
stu_2988f2d5b97b36a6,143,Quản trị kinh doanh
stu_298b507cdcbacd16,144,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_29f0ebcc99d2ed36,145,Ngân hàng
stu_2a4d5e630e5c4676,146,Khoa học máy tính
stu_2a64fd5e71b9177d,147,Kinh doanh số
stu_2ab5dc496b503d6d,148,Kinh doanh thương mại
stu_2afe18203da7f33d,149,Công nghệ Tài chính
stu_2b310c95205ea33d,150,Kế toán công
stu_2b53fb8437e7cbde,151,Quản lý công
stu_2ba8a80b6a0c3f08,152,Công nghệ Tài chính
stu_2bb8de4ce7d1c81e,153,Kinh tế đầu tư
stu_2bea256b73ac2f55,154,Thị trường chứng khoán
stu_2ca0a66b1ee9b1af,155,Công nghệ nghệ thuật - ArtTech
stu_2ccf0afddb9e0aad,156,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_2d342520a83ea762,157,Kế toán công
stu_2d4910b487782c25,158,Kiến trúc và thiết kế đô thị thông minh
stu_2deb3551037392bc,159,Quản trị kinh doanh
stu_2e7b62669e834af8,160,Kinh tế đầu tư
stu_2e9307f2fd0d699d,161,Công nghệ nghệ thuật - ArtTech
stu_2f437c7d3f4127b4,162,Kinh tế đầu tư
stu_2fd3008efcbd4e0b,163,Kinh doanh số
stu_2fd6b5aa0a358a94,164,Ngân hàng
stu_3037aec63b5f10a2,165,Khoa học máy tính
stu_31193bfd3dbcd5cf,166,Quản trị kinh doanh
stu_319370737c366f8c,167,Kinh doanh thương mại
stu_31c358de29e4cd18,168,Kinh tế đầu tư
stu_32270a07ff79ad55,169,Khoa học máy tính
stu_322faaa1afa38ce2,170,Ngân hàng
stu_32822319d9020b58,171,Ngân hàng
stu_32ca13fb5a793870,172,Marketing
stu_33d5b66238ead23c,173,Công nghệ thông tin
stu_33eeab8aec08e3ff,174,Công nghệ nghệ thuật - ArtTech
stu_3491397d8928f461,175,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_34f5fc2eb2b289f1,176,Công nghệ thông tin
stu_351ed33ebbba8363,177,Quản trị kinh doanh
stu_3593d9bcaff5bc50,178,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_3626f5b5fc35986d,179,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_362f4837ab1d80d9,180,Ngân hàng
stu_3653e8e9ba3b013a,181,Kinh doanh số
stu_3680331e0cc643f6,182,Kế toán công
stu_36a395e130b11fa4,183,Ngân hàng
stu_36b229ef7c53c11f,184,Ngân hàng
stu_38fe82dfc755b552,185,Công nghệ Tài chính
stu_398205d4e707eddf,186,Kinh tế đầu tư
stu_398e4b022bd54091,187,Marketing
stu_39d302a0c58f45cd,188,Thị trường chứng khoán
stu_39ff63bdcd4d6605,189,Quản lý công
stu_3a0a2a342c042246,190,Thị trường chứng khoán
stu_3b59bcef76fdfbbb,191,Khoa học máy tính
stu_3b68c15b261343ca,192,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_3b6e994ccf29a6ac,193,Marketing
stu_3bd31edae8312a13,194,Kinh doanh thương mại
stu_3c29b5b6c122609f,195,Marketing
stu_3c550cc1a80c7b33,196,Kế toán doanh nghiệp
stu_3ca51dc178923e3f,197,Kinh tế đầu tư
stu_3d2f8f337ef82be7,198,Kế toán doanh nghiệp
stu_3d4e932dd3b34f88,199,Công nghệ nghệ thuật - ArtTech
stu_3d72b0df6e9ab031,200,Kế toán công
stu_3da1e4ee1a91f291,201,Khoa học máy tính
stu_3de3a577d6233cbb,202,Công nghệ thông tin
stu_3de7e20ee4a2c0e3,203,Thị trường chứng khoán
stu_3e0dd4b97dbc5db8,204,Công nghệ nghệ thuật - ArtTech
stu_3e9b0c662af05404,205,Kinh tế đầu tư
stu_3ead5b17d47a7510,206,Kế toán doanh nghiệp
stu_3eb9dc8637165f85,207,Kinh doanh số
stu_3eebd5b2565cad7a,208,Kế toán công
stu_3f1f2ceb8f582e18,209,Công nghệ và đổi mới sáng tạo
stu_3f51a004654da1d5,210,Ngân hàng
stu_3f668a0ef4a6a5a6,211,Quản lý công
stu_3f7e5047a964abcd,212,Công nghệ thông tin
stu_3f7f2a48e4525d84,213,Thị trường chứng khoán
stu_3f9ccdf142b17221,214,Kinh tế đầu tư
stu_3ff336e065b6e993,215,Kế toán công
stu_4009c7414b4ef866,216,Kinh doanh thương mại
stu_40e56c6bfa80ce91,217,Công nghệ thông tin
stu_40f25bb19132d505,218,Công nghệ Tài chính
stu_417e2a9ba95b4697,219,Khoa học máy tính
stu_41c7c29563e4378d,220,Kế toán doanh nghiệp
stu_41d42081a789c438,221,Kế toán doanh nghiệp
stu_41d9bc09d48823ba,222,Khoa học máy tính
stu_42baef09b3c8eaa1,223,Quản trị kinh doanh
stu_432390acfd7cd96c,224,Kế toán công
stu_43ebe85526275d67,225,Công nghệ thông tin
stu_43f7c3af76d2d526,226,Công nghệ và đổi mới sáng tạo
stu_43fb79834b70fa31,227,Kinh tế đầu tư
stu_441586f4dec48da6,228,Công nghệ nghệ thuật - ArtTech
stu_44566c5a371efb7f,229,Kinh doanh số
stu_449fbe01327d6c44,230,Kế toán doanh nghiệp
stu_44b370a6a9502d29,231,Công nghệ nghệ thuật - ArtTech
stu_455be3c3b43339e8,232,Hệ thống hoạch định nguồn lực doanh nghiệp
